cat,cat_lab,count,percentage,measure,n_responses,school_lab,school_group,school_group_lab,plot_group,measure_lab
"[1, 2, 3, nan]","['Yes', 'No', 'Unsure', 'No response']","[37, 28, 34, 8]","[34.57943925233645, 26.168224299065418, 31.775700934579437, 7.476635514018691]",neurodivergent,107.0,School D,1,Your school,neuro,Do you identify as neurodivergent?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[33, 32, 38, 4]","[30.8411214953271, 29.906542056074763, 35.51401869158878, 3.7383177570093453]",birth_parent1,107.0,School D,1,Your school,birth,Was birth parent 1 born outside the UK?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[40, 31, 28, 8]","[37.38317757009346, 28.971962616822427, 26.168224299065418, 7.476635514018691]",birth_parent2,107.0,School D,1,Your school,birth,Was birth parent 2 born outside the UK?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[28, 45, 32, 2]","[26.168224299065418, 42.05607476635514, 29.906542056074763, 1.8691588785046727]",birth_you,107.0,School D,1,Your school,birth,Were you born outside the UK?
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, nan]","['Under 1 year old', '1 year old', '2 years old', '3 years old', '4 years old', '5 years old', '6 years old', '7 years old', '8 years old', '9 years old', '10 years old', '11 years old', '12 years old', '13 years old', '14 years old', '15 years old', 'No response']","[8, 11, 7, 3, 4, 4, 2, 13, 5, 4, 7, 5, 4, 7, 8, 9, 6]","[7.476635514018691, 10.2803738317757, 6.5420560747663545, 2.803738317757009, 3.7383177570093453, 3.7383177570093453, 1.8691588785046727, 12.149532710280374, 4.672897196261682, 3.7383177570093453, 6.5420560747663545, 4.672897196261682, 3.7383177570093453, 6.5420560747663545, 7.476635514018691, 8.411214953271028, 5.607476635514018]",birth_you_age,107.0,School D,1,Your school,birth,How old were you when you arrived in the UK?
"[0, 1, nan]","['No', 'Yes', 'No response']","[46, 58, 3]","[42.99065420560748, 54.20560747663551, 2.803738317757009]",young_carer,107.0,School D,1,Your school,young_carer,"In the last year, have you regularly taken on caring responsibilities for a family member - e.g. due to illness, disability, mental health condition or drug/alcohol dependency?"
"[1, 0, 2, nan]","['Yes', 'No', 'Unsure', 'No response']","[29, 35, 29, 14]","[27.102803738317753, 32.71028037383177, 27.102803738317753, 13.084112149532709]",care_experience,107.0,School D,1,Your school,care_experience,"Are you or have you ever been in care (living in a foster placement, residential placement, or private/kinship care)?"
"[8, 10, nan]","['Year 8', 'Year 10', 'No data']","[48, 44, 15]","[44.85981308411215, 41.1214953271028, 14.018691588785046]",year_group,107.0,School D,1,Your school,most_of_council,Year group
"[0, 1, nan]","['Non-FSM', 'FSM', 'No data']","[40, 57, 10]","[37.38317757009346, 53.271028037383175, 9.345794392523365]",fsm,107.0,School D,1,Your school,most_of_council,Free school meals
"[0, 1, nan]","['Non-SEN', 'SEN', 'No data']","[50, 50, 7]","[46.728971962616825, 46.728971962616825, 6.5420560747663545]",sen,107.0,School D,1,Your school,neuro,Special educational needs
"[1, 2, nan]","['Ethnic minority', 'White British', 'No data']","[52, 47, 8]","[48.598130841121495, 43.925233644859816, 7.476635514018691]",ethnicity,107.0,School D,1,Your school,most_of_council,Ethnicity
"[0, 1, nan]","['No', 'Yes', 'No data']","[52, 43, 12]","[48.598130841121495, 40.18691588785047, 11.214953271028037]",english_additional,107.0,School D,1,Your school,most_of_council,English as an additional language
"[1, 2, 3, 4, 5, 6, nan]","['Girl', 'Boy', 'Non-binary', 'I describe myself in another way', 'Currently unsure', 'Prefer not to say', 'No response']","[95, 119, 96, 105, 101, 109, 68]","[13.708513708513708, 17.17171717171717, 13.852813852813853, 15.151515151515152, 14.574314574314574, 15.728715728715729, 9.812409812409813]",gender,693.0,School D,0,Other schools,gender,Gender
"[1, 2, 3, 4, 5, nan]","['Yes', 'No', 'Prefer not to say', 'I describe myself in another way', 'Not sure', 'No response']","[134, 130, 140, 143, 134, 12]","[19.336219336219337, 18.75901875901876, 20.2020202020202, 20.634920634920633, 19.336219336219337, 1.7316017316017316]",transgender,693.0,School D,0,Other schools,gender,Do you consider yourself to be transgender?
"[1, 2, 3, 4, 5, 6, nan]","['Bi/pansexual', 'Gay/lesbian', 'Heterosexual/straight', 'I describe myself in another way', 'Currently unsure', 'Prefer not to say', 'No response']","[98, 124, 119, 127, 113, 109, 3]","[14.14141414141414, 17.893217893217894, 17.17171717171717, 18.326118326118326, 16.305916305916305, 15.728715728715729, 0.4329004329004329]",sexual_orientation,693.0,School D,0,Other schools,sexual_orientation,Sexual orientation
"[1, 2, 3, nan]","['Yes', 'No', 'Unsure', 'No response']","[214, 178, 215, 86]","[30.88023088023088, 25.685425685425685, 31.024531024531026, 12.40981240981241]",neurodivergent,693.0,School D,0,Other schools,neuro,Do you identify as neurodivergent?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[222, 232, 208, 31]","[32.03463203463203, 33.477633477633475, 30.014430014430015, 4.473304473304474]",birth_parent1,693.0,School D,0,Other schools,birth,Was birth parent 1 born outside the UK?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[233, 227, 210, 23]","[33.62193362193362, 32.75613275613276, 30.303030303030305, 3.318903318903319]",birth_parent2,693.0,School D,0,Other schools,birth,Was birth parent 2 born outside the UK?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[206, 232, 229, 26]","[29.725829725829726, 33.477633477633475, 33.04473304473304, 3.751803751803752]",birth_you,693.0,School D,0,Other schools,birth,Were you born outside the UK?
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, nan]","['Under 1 year old', '1 year old', '2 years old', '3 years old', '4 years old', '5 years old', '6 years old', '7 years old', '8 years old', '9 years old', '10 years old', '11 years old', '12 years old', '13 years old', '14 years old', '15 years old', 'No response']","[32, 55, 46, 39, 44, 58, 38, 47, 37, 41, 39, 41, 46, 42, 34, 43, 11]","[4.617604617604617, 7.936507936507936, 6.637806637806638, 5.627705627705628, 6.349206349206349, 8.369408369408369, 5.483405483405483, 6.782106782106783, 5.339105339105339, 5.916305916305916, 5.627705627705628, 5.916305916305916, 6.637806637806638, 6.0606060606060606, 4.9062049062049065, 6.204906204906205, 1.5873015873015872]",birth_you_age,693.0,School D,0,Other schools,birth,How old were you when you arrived in the UK?
"[0, 1, nan]","['No', 'Yes', 'No response']","[329, 333, 31]","[47.474747474747474, 48.05194805194805, 4.473304473304474]",young_carer,693.0,School D,0,Other schools,young_carer,"In the last year, have you regularly taken on caring responsibilities for a family member - e.g. due to illness, disability, mental health condition or drug/alcohol dependency?"
"[1, 0, 2, nan]","['Yes', 'No', 'Unsure', 'No response']","[225, 179, 214, 75]","[32.467532467532465, 25.82972582972583, 30.88023088023088, 10.822510822510822]",care_experience,693.0,School D,0,Other schools,care_experience,"Are you or have you ever been in care (living in a foster placement, residential placement, or private/kinship care)?"
"[8, 10, nan]","['Year 8', 'Year 10', 'No data']","[367, 269, 57]","[52.95815295815296, 38.81673881673882, 8.225108225108226]",year_group,693.0,School D,0,Other schools,most_of_council,Year group
"[0, 1, nan]","['Non-FSM', 'FSM', 'No data']","[278, 334, 81]","[40.115440115440116, 48.1962481962482, 11.688311688311687]",fsm,693.0,School D,0,Other schools,most_of_council,Free school meals
"[0, 1, nan]","['Non-SEN', 'SEN', 'No data']","[390, 270, 33]","[56.27705627705628, 38.961038961038966, 4.761904761904762]",sen,693.0,School D,0,Other schools,neuro,Special educational needs
"[1, 2, nan]","['Ethnic minority', 'White British', 'No data']","[331, 343, 19]","[47.76334776334777, 49.494949494949495, 2.7417027417027415]",ethnicity,693.0,School D,0,Other schools,most_of_council,Ethnicity
"[0, 1, nan]","['No', 'Yes', 'No data']","[308, 314, 71]","[44.44444444444444, 45.310245310245314, 10.245310245310245]",english_additional,693.0,School D,0,Other schools,most_of_council,English as an additional language
"[1, 2, 3, 4, 5, 6, nan]","['Girl', 'Boy', 'Non-binary', 'I describe myself in another way', 'Currently unsure', 'Prefer not to say', 'No response']","[15, 21, 13, 15, 15, 18, 9]","[14.150943396226415, 19.81132075471698, 12.264150943396226, 14.150943396226415, 14.150943396226415, 16.9811320754717, 8.49056603773585]",gender,106.0,School E,1,Your school,gender,Gender
"[1, 2, 3, 4, 5, nan]","['Yes', 'No', 'Prefer not to say', 'I describe myself in another way', 'Not sure', 'No response']","[18, 23, 22, 23, 20, 0]","[16.9811320754717, 21.69811320754717, 20.754716981132077, 21.69811320754717, 18.867924528301888, 0.0]",transgender,106.0,School E,1,Your school,gender,Do you consider yourself to be transgender?
"[1, 2, 3, 4, 5, 6, nan]","['Bi/pansexual', 'Gay/lesbian', 'Heterosexual/straight', 'I describe myself in another way', 'Currently unsure', 'Prefer not to say', 'No response']","[18, 21, 14, 17, 22, 14, 0]","[16.9811320754717, 19.81132075471698, 13.20754716981132, 16.037735849056602, 20.754716981132077, 13.20754716981132, 0.0]",sexual_orientation,106.0,School E,1,Your school,sexual_orientation,Sexual orientation
"[1, 2, 3, nan]","['Yes', 'No', 'Unsure', 'No response']","[33, 28, 35, 10]","[31.132075471698112, 26.41509433962264, 33.0188679245283, 9.433962264150944]",neurodivergent,106.0,School E,1,Your school,neuro,Do you identify as neurodivergent?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[37, 30, 33, 6]","[34.90566037735849, 28.30188679245283, 31.132075471698112, 5.660377358490567]",birth_parent1,106.0,School E,1,Your school,birth,Was birth parent 1 born outside the UK?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[28, 30, 44, 4]","[26.41509433962264, 28.30188679245283, 41.509433962264154, 3.7735849056603774]",birth_parent2,106.0,School E,1,Your school,birth,Was birth parent 2 born outside the UK?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[37, 30, 34, 5]","[34.90566037735849, 28.30188679245283, 32.075471698113205, 4.716981132075472]",birth_you,106.0,School E,1,Your school,birth,Were you born outside the UK?
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, nan]","['Under 1 year old', '1 year old', '2 years old', '3 years old', '4 years old', '5 years old', '6 years old', '7 years old', '8 years old', '9 years old', '10 years old', '11 years old', '12 years old', '13 years old', '14 years old', '15 years old', 'No response']","[7, 8, 9, 10, 5, 7, 7, 7, 5, 3, 1, 7, 7, 6, 6, 9, 2]","[6.60377358490566, 7.547169811320755, 8.49056603773585, 9.433962264150944, 4.716981132075472, 6.60377358490566, 6.60377358490566, 6.60377358490566, 4.716981132075472, 2.8301886792452833, 0.9433962264150944, 6.60377358490566, 6.60377358490566, 5.660377358490567, 5.660377358490567, 8.49056603773585, 1.8867924528301887]",birth_you_age,106.0,School E,1,Your school,birth,How old were you when you arrived in the UK?
"[0, 1, nan]","['No', 'Yes', 'No response']","[50, 50, 6]","[47.16981132075472, 47.16981132075472, 5.660377358490567]",young_carer,106.0,School E,1,Your school,young_carer,"In the last year, have you regularly taken on caring responsibilities for a family member - e.g. due to illness, disability, mental health condition or drug/alcohol dependency?"
"[1, 0, 2, nan]","['Yes', 'No', 'Unsure', 'No response']","[36, 25, 37, 8]","[33.9622641509434, 23.58490566037736, 34.90566037735849, 7.547169811320755]",care_experience,106.0,School E,1,Your school,care_experience,"Are you or have you ever been in care (living in a foster placement, residential placement, or private/kinship care)?"
"[8, 10, nan]","['Year 8', 'Year 10', 'No data']","[48, 50, 8]","[45.28301886792453, 47.16981132075472, 7.547169811320755]",year_group,106.0,School E,1,Your school,most_of_council,Year group
"[0, 1, nan]","['Non-FSM', 'FSM', 'No data']","[40, 56, 10]","[37.735849056603776, 52.83018867924528, 9.433962264150944]",fsm,106.0,School E,1,Your school,most_of_council,Free school meals
"[0, 1, nan]","['Non-SEN', 'SEN', 'No data']","[47, 54, 5]","[44.339622641509436, 50.943396226415096, 4.716981132075472]",sen,106.0,School E,1,Your school,neuro,Special educational needs
"[1, 2, nan]","['Ethnic minority', 'White British', 'No data']","[49, 56, 1]","[46.22641509433962, 52.83018867924528, 0.9433962264150944]",ethnicity,106.0,School E,1,Your school,most_of_council,Ethnicity
"[0, 1, nan]","['No', 'Yes', 'No data']","[46, 44, 16]","[43.39622641509434, 41.509433962264154, 15.09433962264151]",english_additional,106.0,School E,1,Your school,most_of_council,English as an additional language
"[1, 2, 3, 4, 5, 6, nan]","['Girl', 'Boy', 'Non-binary', 'I describe myself in another way', 'Currently unsure', 'Prefer not to say', 'No response']","[94, 120, 89, 106, 102, 111, 72]","[13.544668587896252, 17.29106628242075, 12.82420749279539, 15.273775216138327, 14.697406340057636, 15.994236311239193, 10.37463976945245]",gender,694.0,School E,0,Other schools,gender,Gender
"[1, 2, 3, 4, 5, nan]","['Yes', 'No', 'Prefer not to say', 'I describe myself in another way', 'Not sure', 'No response']","[138, 125, 137, 144, 136, 14]","[19.88472622478386, 18.011527377521613, 19.740634005763688, 20.7492795389049, 19.596541786743515, 2.0172910662824206]",transgender,694.0,School E,0,Other schools,gender,Do you consider yourself to be transgender?
"[1, 2, 3, 4, 5, 6, nan]","['Bi/pansexual', 'Gay/lesbian', 'Heterosexual/straight', 'I describe myself in another way', 'Currently unsure', 'Prefer not to say', 'No response']","[103, 117, 117, 128, 111, 115, 3]","[14.84149855907781, 16.85878962536023, 16.85878962536023, 18.443804034582133, 15.994236311239193, 16.570605187319885, 0.43227665706051877]",sexual_orientation,694.0,School E,0,Other schools,sexual_orientation,Sexual orientation
"[1, 2, 3, nan]","['Yes', 'No', 'Unsure', 'No response']","[218, 178, 214, 84]","[31.412103746397698, 25.64841498559078, 30.835734870317005, 12.103746397694524]",neurodivergent,694.0,School E,0,Other schools,neuro,Do you identify as neurodivergent?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[218, 234, 213, 29]","[31.412103746397698, 33.71757925072046, 30.69164265129683, 4.178674351585014]",birth_parent1,694.0,School E,0,Other schools,birth,Was birth parent 1 born outside the UK?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[245, 228, 194, 27]","[35.30259365994236, 32.85302593659942, 27.953890489913547, 3.890489913544669]",birth_parent2,694.0,School E,0,Other schools,birth,Was birth parent 2 born outside the UK?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[197, 247, 227, 23]","[28.38616714697406, 35.590778097982714, 32.70893371757925, 3.314121037463977]",birth_you,694.0,School E,0,Other schools,birth,Were you born outside the UK?
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, nan]","['Under 1 year old', '1 year old', '2 years old', '3 years old', '4 years old', '5 years old', '6 years old', '7 years old', '8 years old', '9 years old', '10 years old', '11 years old', '12 years old', '13 years old', '14 years old', '15 years old', 'No response']","[33, 58, 44, 32, 43, 55, 33, 53, 37, 42, 45, 39, 43, 43, 36, 43, 15]","[4.755043227665706, 8.357348703170029, 6.340057636887608, 4.610951008645533, 6.195965417867435, 7.92507204610951, 4.755043227665706, 7.636887608069164, 5.3314121037463975, 6.051873198847262, 6.484149855907781, 5.619596541786744, 6.195965417867435, 6.195965417867435, 5.187319884726225, 6.195965417867435, 2.161383285302594]",birth_you_age,694.0,School E,0,Other schools,birth,How old were you when you arrived in the UK?
"[0, 1, nan]","['No', 'Yes', 'No response']","[325, 341, 28]","[46.829971181556196, 49.13544668587896, 4.034582132564841]",young_carer,694.0,School E,0,Other schools,young_carer,"In the last year, have you regularly taken on caring responsibilities for a family member - e.g. due to illness, disability, mental health condition or drug/alcohol dependency?"
"[1, 0, 2, nan]","['Yes', 'No', 'Unsure', 'No response']","[218, 189, 206, 81]","[31.412103746397698, 27.23342939481268, 29.68299711815562, 11.671469740634006]",care_experience,694.0,School E,0,Other schools,care_experience,"Are you or have you ever been in care (living in a foster placement, residential placement, or private/kinship care)?"
"[8, 10, nan]","['Year 8', 'Year 10', 'No data']","[367, 263, 64]","[52.88184438040345, 37.89625360230547, 9.221902017291066]",year_group,694.0,School E,0,Other schools,most_of_council,Year group
"[0, 1, nan]","['Non-FSM', 'FSM', 'No data']","[278, 335, 81]","[40.05763688760807, 48.27089337175792, 11.671469740634006]",fsm,694.0,School E,0,Other schools,most_of_council,Free school meals
"[0, 1, nan]","['Non-SEN', 'SEN', 'No data']","[393, 266, 35]","[56.62824207492796, 38.328530259366, 5.043227665706052]",sen,694.0,School E,0,Other schools,neuro,Special educational needs
"[1, 2, nan]","['Ethnic minority', 'White British', 'No data']","[334, 334, 26]","[48.126801152737755, 48.126801152737755, 3.7463976945244957]",ethnicity,694.0,School E,0,Other schools,most_of_council,Ethnicity
"[0, 1, nan]","['No', 'Yes', 'No data']","[314, 313, 67]","[45.24495677233429, 45.10086455331412, 9.654178674351584]",english_additional,694.0,School E,0,Other schools,most_of_council,English as an additional language
"[1, 2, 3, 4, 5, 6, nan]","['Girl', 'Boy', 'Non-binary', 'I describe myself in another way', 'Currently unsure', 'Prefer not to say', 'No response']","[16, 20, 14, 13, 18, 16, 13]","[14.545454545454545, 18.181818181818183, 12.727272727272727, 11.818181818181818, 16.363636363636363, 14.545454545454545, 11.818181818181818]",gender,110.0,School F,1,Your school,gender,Gender
"[1, 2, 3, 4, 5, nan]","['Yes', 'No', 'Prefer not to say', 'I describe myself in another way', 'Not sure', 'No response']","[23, 18, 20, 22, 25, 2]","[20.909090909090907, 16.363636363636363, 18.181818181818183, 20.0, 22.727272727272727, 1.8181818181818181]",transgender,110.0,School F,1,Your school,gender,Do you consider yourself to be transgender?
"[1, 2, 3, 4, 5, 6, nan]","['Bi/pansexual', 'Gay/lesbian', 'Heterosexual/straight', 'I describe myself in another way', 'Currently unsure', 'Prefer not to say', 'No response']","[15, 18, 21, 18, 16, 21, 1]","[13.636363636363635, 16.363636363636363, 19.090909090909093, 16.363636363636363, 14.545454545454545, 19.090909090909093, 0.9090909090909091]",sexual_orientation,110.0,School F,1,Your school,sexual_orientation,Sexual orientation
"[1, 2, 3, nan]","['Yes', 'No', 'Unsure', 'No response']","[31, 34, 28, 17]","[28.18181818181818, 30.909090909090907, 25.454545454545453, 15.454545454545453]",neurodivergent,110.0,School F,1,Your school,neuro,Do you identify as neurodivergent?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[41, 34, 31, 4]","[37.27272727272727, 30.909090909090907, 28.18181818181818, 3.6363636363636362]",birth_parent1,110.0,School F,1,Your school,birth,Was birth parent 1 born outside the UK?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[39, 34, 34, 3]","[35.45454545454545, 30.909090909090907, 30.909090909090907, 2.727272727272727]",birth_parent2,110.0,School F,1,Your school,birth,Was birth parent 2 born outside the UK?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[38, 37, 33, 2]","[34.54545454545455, 33.63636363636363, 30.0, 1.8181818181818181]",birth_you,110.0,School F,1,Your school,birth,Were you born outside the UK?
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, nan]","['Under 1 year old', '1 year old', '2 years old', '3 years old', '4 years old', '5 years old', '6 years old', '7 years old', '8 years old', '9 years old', '10 years old', '11 years old', '12 years old', '13 years old', '14 years old', '15 years old', 'No response']","[8, 7, 5, 6, 8, 12, 8, 7, 4, 9, 5, 6, 6, 8, 1, 7, 3]","[7.2727272727272725, 6.363636363636363, 4.545454545454546, 5.454545454545454, 7.2727272727272725, 10.909090909090908, 7.2727272727272725, 6.363636363636363, 3.6363636363636362, 8.181818181818182, 4.545454545454546, 5.454545454545454, 5.454545454545454, 7.2727272727272725, 0.9090909090909091, 6.363636363636363, 2.727272727272727]",birth_you_age,110.0,School F,1,Your school,birth,How old were you when you arrived in the UK?
"[0, 1, nan]","['No', 'Yes', 'No response']","[50, 51, 9]","[45.45454545454545, 46.36363636363636, 8.181818181818182]",young_carer,110.0,School F,1,Your school,young_carer,"In the last year, have you regularly taken on caring responsibilities for a family member - e.g. due to illness, disability, mental health condition or drug/alcohol dependency?"
"[1, 0, 2, nan]","['Yes', 'No', 'Unsure', 'No response']","[34, 29, 36, 11]","[30.909090909090907, 26.36363636363636, 32.72727272727273, 10.0]",care_experience,110.0,School F,1,Your school,care_experience,"Are you or have you ever been in care (living in a foster placement, residential placement, or private/kinship care)?"
"[8, 10, nan]","['Year 8', 'Year 10', 'No data']","[99, 0, 11]","[90.0, 0.0, 10.0]",year_group,110.0,School F,1,Your school,most_of_council,Year group
"[0, 1, nan]","['Non-FSM', 'FSM', 'No data']","[41, 51, 18]","[37.27272727272727, 46.36363636363636, 16.363636363636363]",fsm,110.0,School F,1,Your school,most_of_council,Free school meals
"[0, 1, nan]","['Non-SEN', 'SEN', 'No data']","[51, 53, 6]","[46.36363636363636, 48.18181818181818, 5.454545454545454]",sen,110.0,School F,1,Your school,neuro,Special educational needs
"[1, 2, nan]","['Ethnic minority', 'White British', 'No data']","[60, 49, 1]","[54.54545454545454, 44.54545454545455, 0.9090909090909091]",ethnicity,110.0,School F,1,Your school,most_of_council,Ethnicity
"[0, 1, nan]","['No', 'Yes', 'No data']","[52, 50, 8]","[47.27272727272727, 45.45454545454545, 7.2727272727272725]",english_additional,110.0,School F,1,Your school,most_of_council,English as an additional language
"[1, 2, 3, 4, 5, 6, nan]","['Girl', 'Boy', 'Non-binary', 'I describe myself in another way', 'Currently unsure', 'Prefer not to say', 'No response']","[93, 121, 88, 108, 99, 113, 68]","[13.478260869565217, 17.53623188405797, 12.753623188405797, 15.65217391304348, 14.347826086956522, 16.3768115942029, 9.855072463768117]",gender,690.0,School F,0,Other schools,gender,Gender
"[1, 2, 3, 4, 5, nan]","['Yes', 'No', 'Prefer not to say', 'I describe myself in another way', 'Not sure', 'No response']","[133, 130, 139, 145, 131, 12]","[19.275362318840582, 18.84057971014493, 20.144927536231886, 21.014492753623188, 18.985507246376812, 1.7391304347826086]",transgender,690.0,School F,0,Other schools,gender,Do you consider yourself to be transgender?
"[1, 2, 3, 4, 5, 6, nan]","['Bi/pansexual', 'Gay/lesbian', 'Heterosexual/straight', 'I describe myself in another way', 'Currently unsure', 'Prefer not to say', 'No response']","[106, 120, 110, 127, 117, 108, 2]","[15.36231884057971, 17.391304347826086, 15.942028985507244, 18.405797101449277, 16.956521739130434, 15.65217391304348, 0.2898550724637681]",sexual_orientation,690.0,School F,0,Other schools,sexual_orientation,Sexual orientation
"[1, 2, 3, nan]","['Yes', 'No', 'Unsure', 'No response']","[220, 172, 221, 77]","[31.88405797101449, 24.92753623188406, 32.028985507246375, 11.159420289855072]",neurodivergent,690.0,School F,0,Other schools,neuro,Do you identify as neurodivergent?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[214, 230, 215, 31]","[31.01449275362319, 33.33333333333333, 31.15942028985507, 4.492753623188406]",birth_parent1,690.0,School F,0,Other schools,birth,Was birth parent 1 born outside the UK?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[234, 224, 204, 28]","[33.91304347826087, 32.463768115942024, 29.565217391304348, 4.057971014492753]",birth_parent2,690.0,School F,0,Other schools,birth,Was birth parent 2 born outside the UK?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[196, 240, 228, 26]","[28.405797101449277, 34.78260869565217, 33.04347826086956, 3.768115942028986]",birth_you,690.0,School F,0,Other schools,birth,Were you born outside the UK?
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, nan]","['Under 1 year old', '1 year old', '2 years old', '3 years old', '4 years old', '5 years old', '6 years old', '7 years old', '8 years old', '9 years old', '10 years old', '11 years old', '12 years old', '13 years old', '14 years old', '15 years old', 'No response']","[32, 59, 48, 36, 40, 50, 32, 53, 38, 36, 41, 40, 44, 41, 41, 45, 14]","[4.63768115942029, 8.550724637681158, 6.956521739130435, 5.217391304347826, 5.797101449275362, 7.246376811594203, 4.63768115942029, 7.681159420289855, 5.507246376811594, 5.217391304347826, 5.942028985507246, 5.797101449275362, 6.3768115942028984, 5.942028985507246, 5.942028985507246, 6.521739130434782, 2.0289855072463765]",birth_you_age,690.0,School F,0,Other schools,birth,How old were you when you arrived in the UK?
"[0, 1, nan]","['No', 'Yes', 'No response']","[325, 340, 25]","[47.10144927536232, 49.275362318840585, 3.6231884057971016]",young_carer,690.0,School F,0,Other schools,young_carer,"In the last year, have you regularly taken on caring responsibilities for a family member - e.g. due to illness, disability, mental health condition or drug/alcohol dependency?"
"[1, 0, 2, nan]","['Yes', 'No', 'Unsure', 'No response']","[220, 185, 207, 78]","[31.88405797101449, 26.811594202898554, 30.0, 11.304347826086957]",care_experience,690.0,School F,0,Other schools,care_experience,"Are you or have you ever been in care (living in a foster placement, residential placement, or private/kinship care)?"
"[8, 10, nan]","['Year 8', 'Year 10', 'No data']","[316, 313, 61]","[45.79710144927536, 45.36231884057971, 8.840579710144928]",year_group,690.0,School F,0,Other schools,most_of_council,Year group
"[0, 1, nan]","['Non-FSM', 'FSM', 'No data']","[277, 340, 73]","[40.14492753623188, 49.275362318840585, 10.579710144927535]",fsm,690.0,School F,0,Other schools,most_of_council,Free school meals
"[0, 1, nan]","['Non-SEN', 'SEN', 'No data']","[389, 267, 34]","[56.376811594202906, 38.69565217391304, 4.9275362318840585]",sen,690.0,School F,0,Other schools,neuro,Special educational needs
"[1, 2, nan]","['Ethnic minority', 'White British', 'No data']","[323, 341, 26]","[46.81159420289855, 49.42028985507246, 3.768115942028986]",ethnicity,690.0,School F,0,Other schools,most_of_council,Ethnicity
"[0, 1, nan]","['No', 'Yes', 'No data']","[308, 307, 75]","[44.63768115942029, 44.492753623188406, 10.869565217391305]",english_additional,690.0,School F,0,Other schools,most_of_council,English as an additional language
"[1, 2, 3, 4, 5, 6, nan]","['Girl', 'Boy', 'Non-binary', 'I describe myself in another way', 'Currently unsure', 'Prefer not to say', 'No response']","[14, 19, 14, 19, 14, 16, 10]","[13.20754716981132, 17.92452830188679, 13.20754716981132, 17.92452830188679, 13.20754716981132, 15.09433962264151, 9.433962264150944]",gender,106.0,School G,1,Your school,gender,Gender
"[1, 2, 3, 4, 5, nan]","['Yes', 'No', 'Prefer not to say', 'I describe myself in another way', 'Not sure', 'No response']","[21, 22, 23, 19, 16, 5]","[19.81132075471698, 20.754716981132077, 21.69811320754717, 17.92452830188679, 15.09433962264151, 4.716981132075472]",transgender,106.0,School G,1,Your school,gender,Do you consider yourself to be transgender?
"[1, 2, 3, 4, 5, 6, nan]","['Bi/pansexual', 'Gay/lesbian', 'Heterosexual/straight', 'I describe myself in another way', 'Currently unsure', 'Prefer not to say', 'No response']","[11, 16, 16, 26, 19, 18, 0]","[10.377358490566039, 15.09433962264151, 15.09433962264151, 24.528301886792452, 17.92452830188679, 16.9811320754717, 0.0]",sexual_orientation,106.0,School G,1,Your school,sexual_orientation,Sexual orientation
"[1, 2, 3, nan]","['Yes', 'No', 'Unsure', 'No response']","[31, 31, 34, 10]","[29.245283018867923, 29.245283018867923, 32.075471698113205, 9.433962264150944]",neurodivergent,106.0,School G,1,Your school,neuro,Do you identify as neurodivergent?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[30, 37, 35, 4]","[28.30188679245283, 34.90566037735849, 33.0188679245283, 3.7735849056603774]",birth_parent1,106.0,School G,1,Your school,birth,Was birth parent 1 born outside the UK?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[41, 38, 26, 1]","[38.67924528301887, 35.84905660377358, 24.528301886792452, 0.9433962264150944]",birth_parent2,106.0,School G,1,Your school,birth,Was birth parent 2 born outside the UK?
