gender,transgender,sexual_orientation,neurodivergent,birth_parent1,birth_parent2,birth_you,birth_you_age,autonomy_pressure,autonomy_express,autonomy_decide,autonomy_told,autonomy_myself,autonomy_choice,life_satisfaction,optimism_future,optimism_best,optimism_good,optimism_work,wellbeing_optimistic,wellbeing_useful,wellbeing_relaxed,wellbeing_problems,wellbeing_thinking,wellbeing_close,wellbeing_mind,esteem_satisfied,esteem_qualities,esteem_well,esteem_value,esteem_good,stress_control,stress_overcome,stress_confident,stress_way,appearance_happy,appearance_feel,negative_lonely,negative_unhappy,negative_like,negative_cry,negative_school,negative_worry,negative_sleep,negative_wake,negative_shy,negative_scared,lonely,support_ways,support_look,sleep,physical_days,physical_hours,free_like,media_hours,media_interact,media_browse,media_total,places_freq,places_barriers___1,places_barriers___2,places_barriers___3,places_barriers___4,places_barriers___5,places_barriers___6,places_barriers___7,places_barriers___8,places_barriers___9,school_belong,staff_interest,staff_believe,staff_best,staff_listen,staff_talk,staff_talk_listen,staff_talk_helpful,staff_talk_if,accept_staff,home_interest,home_believe,home_best,home_listen,home_talk,home_talk_listen,home_talk_helpful,home_talk_if,accept_home,home_happy,young_carer,care_experience,local_safe,local_support,local_trust,local_neighbours,local_places,discrim_race,discrim_gender,discrim_orientation,discrim_disability,discrim_faith,belong_local,accept_local,wealth,future_options,future_interest,future_support,climate,social_along,social_time,social_support,social_hard,bully_physical,bully_other,bully_cyber,peer_talk,peer_talk_listen,peer_talk_helpful,peer_talk_if,accept_peer,year_group,fsm,sen,ethnicity,english_additional,school,autonomy_score,life_satisfaction_score,optimism_score,wellbeing_score,esteem_score,stress_score,appearance_score,negative_score,lonely_score,support_score,sleep_score,physical_score,free_like_score,media_score,places_score,staff_talk_score,home_talk_score,peer_talk_score,talk_score,accept_score,school_belong_score,staff_relationship_score,home_relationship_score,home_happy_score,local_env_score,discrim_score,belong_local_score,wealth_score,future_score,climate_score,social_score,bully_score,gender_lab,transgender_lab,sexual_orientation_lab,neurodivergent_lab,birth_parent1_lab,birth_parent2_lab,birth_you_lab,birth_you_age_lab,autonomy_pressure_lab,autonomy_express_lab,autonomy_decide_lab,autonomy_told_lab,autonomy_myself_lab,autonomy_choice_lab,life_satisfaction_lab,optimism_future_lab,optimism_best_lab,optimism_good_lab,optimism_work_lab,wellbeing_optimistic_lab,wellbeing_useful_lab,wellbeing_relaxed_lab,wellbeing_problems_lab,wellbeing_thinking_lab,wellbeing_close_lab,wellbeing_mind_lab,esteem_satisfied_lab,esteem_qualities_lab,esteem_well_lab,esteem_value_lab,esteem_good_lab,stress_control_lab,stress_overcome_lab,stress_confident_lab,stress_way_lab,appearance_happy_lab,appearance_feel_lab,negative_lonely_lab,negative_unhappy_lab,negative_like_lab,negative_cry_lab,negative_school_lab,negative_worry_lab,negative_sleep_lab,negative_wake_lab,negative_shy_lab,negative_scared_lab,lonely_lab,support_ways_lab,support_look_lab,sleep_lab,physical_days_lab,physical_hours_lab,free_like_lab,media_hours_lab,places_freq_lab,places_barriers___1_lab,places_barriers___2_lab,places_barriers___3_lab,places_barriers___4_lab,places_barriers___5_lab,places_barriers___6_lab,places_barriers___7_lab,places_barriers___8_lab,places_barriers___9_lab,school_belong_lab,staff_interest_lab,staff_believe_lab,staff_best_lab,staff_listen_lab,staff_talk_lab,staff_talk_listen_lab,staff_talk_helpful_lab,staff_talk_if_lab,accept_staff_lab,home_interest_lab,home_believe_lab,home_best_lab,home_listen_lab,home_talk_lab,home_talk_listen_lab,home_talk_helpful_lab,home_talk_if_lab,accept_home_lab,home_happy_lab,young_carer_lab,care_experience_lab,local_safe_lab,local_support_lab,local_trust_lab,local_neighbours_lab,local_places_lab,discrim_race_lab,discrim_gender_lab,discrim_orientation_lab,discrim_disability_lab,discrim_faith_lab,belong_local_lab,accept_local_lab,wealth_lab,future_options_lab,future_interest_lab,future_support_lab,climate_lab,social_along_lab,social_time_lab,social_support_lab,social_hard_lab,bully_physical_lab,bully_other_lab,bully_cyber_lab,peer_talk_lab,peer_talk_listen_lab,peer_talk_helpful_lab,peer_talk_if_lab,accept_peer_lab,year_group_lab,fsm_lab,sen_lab,ethnicity_lab,english_additional_lab,school_lab
5,,3,3,3,3,1,2,5,5,5,,3,1,1,2,1,2,4,5,,2,1,3,2,4,4,1,1,3,3,5,2,4,4,9,4,,,3,3,2,2,3,3,1,2,2,4,2,1,0,,2,3,4,5,,3,1,1,0,0,0,1,1,1,0,1,5,5,3,3,1,4,3,,4,5,5,4,3,0,,,3,4,,1,,3,1,1,1,1,5,4,4,4,5,2,1,3,4,5,1,2,4,5,,,1,3,4,0,,,1,4,8,1,0,1,1,6,,1,9,,13,9,9,,2,4,1,,4,6,3,4,3,1,8,13,1,16,17,,22.3333333333333,2,3,1,,2,,7,Currently unsure,,Heterosexual/straight,Unsure,I don't know,I don't know,Yes,1 year old,5 - Completely true,5 - Completely true,5 - Completely true,,3,1 - Completely not true,1,Sometimes,Not at all like me,A little like me,Mostly like me,All of the time,,Rarely,None of the time,Some of the time,Rarely,Often,Strongly disagree,Strongly agree,Strongly agree,Disagree,Disagree,Very Often,Almost Never,Fairly Often,Fairly Often,9,Strongly disagree,,,Always,Always,Sometimes,Sometimes,Always,Always,Never,Sometimes,Some of the time,Strongly disagree,Agree,Yes,0 days,,Often,1 to 2 hours,Several,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Not at all,5 - Always,5 - Always,3,3,Yes,Fully,Very helpful,,Fully,5 - Always,5 - Always,4,3,No,,,Comfortable,Fully,,Yes,,Fairly unsafe,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Never,Hardly ever,Hardly ever,Hardly ever,Never,Agree,Not at all,About the same,Unsure,Unsure,Not at all,Sometimes,Quite a bit,A lot,,,Not at all,4+ times in last 6 months,A few times a week,No,,,Very uncomfortable,Fully,Year 8,FSM,Non-SEN,Ethnic minority,Yes,School F
5,2,1,2,3,1,2,13,1,3,3,1,3,2,9,4,4,5,4,3,4,1,2,1,5,1,1,1,3,4,4,4,1,1,5,1,2,3,3,3,2,1,1,3,2,1,1,5,4,2,,7,30,4,2,,3,3,2,,,,,,,,,,5,3,5,3,5,0,,,3,3,4,5,,2,0,,,4,3,3,0,2,3,2,1,1,2,1,1,,1,2,3,2,1,1,2,4,4,1,2,1,1,1,3,3,0,,,1,3,10,1,0,1,1,2,21,9,17,17,12,9,1,10,5,4,,210,2,7,2,3,4,1,8,11,5,16,,3,20.3333333333333,1,2,0,7,4,5,8,Currently unsure,No,Bi/pansexual,No,I don't know,Yes,No,12 years old,1 - Completely not true,3,3,1 - Completely not true,3,2,9,Very often,Mostly like me,Very much like me,Mostly like me,Some of the time,Often,None of the time,Rarely,None of the time,All of the time,None of the time,Strongly agree,Strongly agree,Disagree,Strongly disagree,Strongly disagree,Fairly Often,Never,Never,Very Often,1,Agree,Always,Always,Always,Sometimes,Never,Never,Always,Sometimes,Never,Never,Never,Strongly disagree,Agree,,7 days,Around 30 minutes,Not often,Less than 1 hour,Limited,,,,,,,,,,A lot,3,5 - Always,3,5 - Always,No,,,Comfortable,Mostly,4,5 - Always,,2,No,,,Very comfortable,Mostly,3,No,Unsure,Fairly unsafe,Agree,Strongly agree,Strongly agree,Agree,Often or always,Often or always,,Often or always,Some of the time,Disagree,Slightly,Richer,Not many,A little interested,Fully,Never,Not at all,A little,Not at all,Not at all,Not at all,4+ times in last 6 months,4+ times in last 6 months,No,,,Very uncomfortable,Mostly,Year 10,FSM,Non-SEN,Ethnic minority,Yes,School B
1,3,6,2,1,1,3,9,1,4,2,5,4,2,4,3,4,3,2,1,4,2,3,1,1,2,3,,2,1,,3,1,3,2,7,,2,3,2,1,3,1,3,2,1,1,3,,4,1,7,,5,8,6,1,6,3,1,1,0,1,0,1,0,1,1,1,4,3,1,4,0,,,2,2,1,4,5,3,1,1,3,,3,7,1,2,5,2,3,2,4,5,2,4,2,1,3,1,,4,2,1,3,,5,1,5,1,2,1,1,1,1,,3,10,1,0,2,1,3,18,4,12,14,,9,7,11,3,,1,,1,1,3,2,2.5,1,5.5,9,1,12,13,7,,1,2,,,3,,11,Girl,Prefer not to say,Prefer not to say,No,Yes,Yes,I don't know,8 years old,1 - Completely not true,4,2,5 - Completely true,4,2,4,Often,Mostly like me,Somewhat like me,A little like me,None of the time,Often,Rarely,Some of the time,None of the time,None of the time,Rarely,Disagree,,Agree,Strongly agree,,Sometimes,Never,Sometimes,Almost Never,7,,Sometimes,Always,Sometimes,Never,Always,Never,Always,Sometimes,Never,Never,Occasionally,,Strongly disagree,Yes,7 days,,Almost never,6 to 7 hours,Several,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Not at all,4,3,1 - Never,4,No,,,Uncomfortable,Slightly,1 - Never,4,5 - Always,3,Yes,Not at all,Very helpful,,Mostly,7,Yes,Unsure,Don't know,Agree,Neither agree nor disagree,Agree,Disagree,Never,Some of the time,Hardly ever,Some of the time,Often or always,Disagree,Not at all,,Unsure,A little interested,Not at all,Rarely,,A lot,Not at all,A lot,Not at all,1-3 times in last 6 months,Not at all,Yes,Not at all,Not helpful,,Mostly,Year 10,FSM,Non-SEN,White British,Yes,School C
3,3,3,3,1,3,3,1,4,4,2,3,2,1,9,1,5,3,3,1,5,,4,2,5,3,2,1,,1,2,1,1,5,4,2,2,1,2,2,3,2,3,3,2,3,2,5,1,2,1,4,120,2,5,6,5,1,2,0,0,1,1,1,0,0,1,0,1,3,5,2,2,0,,,1,3,2,2,4,3,1,4,1,,3,0,0,0,5,4,1,4,1,3,3,3,3,5,2,3,2,2,2,5,,,3,5,5,3,2,1,1,1,,,3,10,0,0,2,0,2,14,9,12,,,15,2,7,5,7,1,480,4,4,2,1,2.5,,,12,1,12,11,0,,1,3,0,,,,9,Non-binary,Prefer not to say,Heterosexual/straight,Unsure,Yes,I don't know,I don't know,Under 1 year old,4,4,2,3,2,1 - Completely not true,9,Almost never,Very much like me,Somewhat like me,Somewhat like me,None of the time,All of the time,,Often,Rarely,All of the time,Some of the time,Agree,Strongly agree,,Strongly agree,Agree,Never,Never,Very Often,Fairly Often,2,Agree,Never,Sometimes,Sometimes,Always,Sometimes,Always,Always,Sometimes,Always,Sometimes,Never,Strongly agree,Agree,Yes,4 days,Around 2 hours or more,Often,3 to 4 hours,Limited,No,No,Yes,Yes,Yes,No,No,Yes,No,Not at all,3,5 - Always,2,2,No,,,Very uncomfortable,Mostly,2,2,4,3,Yes,Fully,Not helpful,,Mostly,0 - Very unhappy,No,No,Don't know,Disagree,Strongly agree,Disagree,Strongly agree,Occasionally,Occasionally,Occasionally,Occasionally,Never,Agree,Mostly,Poorer,Quite a few,A little interested,Unsure,,,Somewhat,A lot,A lot,4+ times in last 6 months,1-3 times in last 6 months,Not at all,Yes,Not at all,,,Mostly,Year 10,Non-FSM,Non-SEN,White British,No,School B
4,3,6,3,3,3,1,2,4,2,1,3,5,5,4,4,3,3,2,1,4,4,5,3,1,1,1,2,4,4,1,4,1,3,5,8,,1,3,3,2,3,2,2,2,1,1,3,4,3,1,5,30,5,8,5,5,4,3,0,1,1,0,0,1,1,0,1,1,3,2,3,3,,,,,2,2,2,,3,1,2,2,,1,,0,1,3,4,4,2,4,1,2,,3,3,4,2,1,1,2,4,2,,3,3,3,2,1,2,0,,,3,4,,1,0,1,,2,18,4,12,19,13,11,8,10,3,3,1,150,1,1,3,,2.25,3,,9,1,11,,,12.3333333333333,1,1,0,7,2,,10,I describe myself in another way,Prefer not to say,Prefer not to say,Unsure,I don't know,I don't know,Yes,1 year old,4,2,1 - Completely not true,3,5 - Completely true,5 - Completely true,4,Very often,Somewhat like me,Somewhat like me,A little like me,None of the time,Often,Often,All of the time,Some of the time,None of the time,None of the time,Strongly agree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Fairly Often,Never,Sometimes,Very Often,8,,Never,Always,Always,Sometimes,Always,Sometimes,Sometimes,Sometimes,Never,Never,Occasionally,Strongly disagree,Disagree,Yes,5 days,Around 30 minutes,Almost never,6 to 7 hours,Several,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Not at all,3,2,3,3,,,,,Slightly,2,2,,3,Yes,Slightly,Somewhat helpful,,Not at all,,No,Yes,Fairly unsafe,Disagree,Disagree,Agree,Disagree,Often or always,Some of the time,,Occasionally,Occasionally,Strongly disagree,Slightly,Richer,Not many,A little interested,Fully,Sometimes,,Somewhat,Somewhat,Somewhat,1-3 times in last 6 months,Not at all,1-3 times in last 6 months,No,,,Comfortable,Fully,,FSM,Non-SEN,Ethnic minority,,School B
3,1,6,,1,3,3,5,5,4,,1,2,1,4,5,4,5,3,1,4,5,1,2,3,2,3,3,2,1,4,1,5,4,3,5,,1,1,1,1,2,3,1,,3,1,1,1,2,1,3,30,2,3,9,9,5,2,1,1,1,0,0,0,0,1,0,5,2,2,4,2,1,4,2,,2,1,2,3,5,0,,,3,3,10,0,2,4,1,1,1,5,3,5,1,5,2,2,4,2,1,,3,4,3,1,3,3,1,4,2,0,,,4,2,8,0,1,2,1,1,,4,17,18,12,9,5,,1,7,1,90,4,6,2,3.25,3,4,10.25,11,5,10,11,10,17,1,3,0,,4,10,8,Non-binary,Yes,Prefer not to say,,Yes,I don't know,I don't know,4 years old,5 - Completely true,4,,1 - Completely not true,2,1 - Completely not true,4,Always,Mostly like me,Very much like me,Somewhat like me,None of the time,Often,All of the time,None of the time,Rarely,Some of the time,Rarely,Disagree,Disagree,Agree,Strongly agree,Strongly disagree,Never,Very Often,Fairly Often,Sometimes,5 - Not happy or unhappy,,Never,Never,Never,Never,Sometimes,Always,Never,,Always,Never,Often or always,Strongly agree,Agree,Yes,3 days,Around 30 minutes,Often,1 to 2 hours,Limited,Yes,Yes,Yes,No,No,No,No,Yes,No,A lot,2,2,4,2,Yes,Fully,Somewhat helpful,,Slightly,1 - Never,2,3,5 - Always,No,,,Comfortable,Mostly,10 - Very happy,No,Unsure,Very unsafe,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Occasionally,Never,Often or always,Never,Some of the time,Agree,Fully,Poorer,Not many,,Mostly,Never,Somewhat,Not at all,Somewhat,Somewhat,Not at all,A few times a week,1-3 times in last 6 months,No,,,Very comfortable,Slightly,Year 8,Non-FSM,SEN,White British,Yes,School A
2,2,3,3,1,3,3,2,,5,,5,4,2,8,5,2,4,4,2,5,2,1,5,2,2,1,4,4,1,1,4,,2,4,10,3,3,2,1,1,2,2,2,3,1,2,4,1,3,1,2,120,2,1,8,4,6,1,1,0,1,1,1,1,1,0,1,3,1,3,2,5,1,3,2,,1,5,3,,,1,3,1,,2,2,1,1,3,1,5,4,1,2,3,2,4,5,3,4,3,1,3,5,3,,5,2,4,2,1,3,1,,2,,4,10,1,0,2,0,1,,8,15,19,14,,10,11,4,6,1,240,4,8,1,2.75,2,,,11,3,11,,2,15.3333333333333,1,2,1,,3,,9,Boy,No,Heterosexual/straight,Unsure,Yes,I don't know,I don't know,1 year old,,5 - Completely true,,5 - Completely true,4,2,8,Always,A little like me,Mostly like me,Mostly like me,Rarely,All of the time,Rarely,None of the time,All of the time,Rarely,Rarely,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Fairly Often,,Almost Never,Fairly Often,10 - Very happy,Disagree,Always,Sometimes,Never,Never,Sometimes,Sometimes,Sometimes,Always,Never,Sometimes,Hardly ever,Strongly agree,Disagree,Yes,2 days,Around 2 hours or more,Often,None,None ,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Somewhat,1 - Never,3,2,5 - Always,Yes,Mostly,Somewhat helpful,,Not at all,5 - Always,3,,,Yes,Mostly,Not helpful,,Slightly,2,Yes,Yes,Fairly unsafe,Strongly agree,Strongly disagree,Disagree,Strongly agree,Some of the time,Occasionally,Some of the time,Hardly ever,Never,Disagree,Fully,About the same,Not many,Quite interested,Unsure,Rarely,,A lot,A little,Quite a bit,1-3 times in last 6 months,Not at all,4+ times in last 6 months,Yes,,Somewhat helpful,,Fully,Year 10,FSM,Non-SEN,White British,No,School A
,2,3,2,2,2,1,11,1,1,3,3,5,4,8,4,5,4,1,5,1,4,2,5,4,3,4,2,1,1,1,3,5,,3,6,3,3,2,1,3,1,1,2,2,3,1,3,3,2,1,7,60,4,7,,3,9,4,0,1,0,1,1,0,1,0,0,3,3,4,,2,,,,,3,1,1,5,4,0,,,3,1,6,0,1,3,,3,5,5,4,4,3,5,4,2,1,4,2,,1,1,2,3,3,2,4,2,1,1,4,,,3,8,1,0,1,1,2,21,8,14,24,16,,6,11,3,5,1,420,2,2,4,,3,,,8,3,,11,6,,1,3,,,1,10,8,,No,Heterosexual/straight,No,No,No,Yes,10 years old,1 - Completely not true,1 - Completely not true,3,3,5 - Completely true,4,8,Very often,Very much like me,Mostly like me,Not at all like me,All of the time,None of the time,Often,Rarely,All of the time,Often,Some of the time,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Sometimes,Very Often,,Sometimes,6,Disagree,Always,Sometimes,Never,Always,Never,Never,Sometimes,Sometimes,Always,Never,Occasionally,Disagree,Agree,Yes,7 days,Around 1 hour,Not often,5 to 6 hours,Lots,No,Yes,No,Yes,Yes,No,Yes,No,No,Somewhat,3,4,,2,,,,,Mostly,1 - Never,1 - Never,5 - Always,4,No,,,Comfortable,Not at all,6,No,Yes,Fairly unsafe,,Neither agree nor disagree,Strongly disagree,Strongly disagree,Hardly ever,Hardly ever,Occasionally,Never,Hardly ever,Agree,Not at all,Don't know,Quite a few,,Not at all,Often,A little,Somewhat,Somewhat,A little,A few times a week,1-3 times in last 6 months,Not at all,Yes,Fully,,,Mostly,Year 8,FSM,Non-SEN,Ethnic minority,Yes,School B
6,3,4,2,2,1,1,13,,2,4,4,4,2,4,2,1,2,4,3,3,2,5,5,,3,3,,1,4,3,1,2,,1,5,4,1,3,,1,,1,2,3,2,1,4,4,4,1,7,60,1,1,5,1,8,1,0,1,1,1,1,0,0,0,0,4,3,1,2,4,0,,,2,2,3,4,,,1,4,,,4,5,0,2,4,,5,1,5,1,3,2,4,5,1,4,4,4,4,1,1,4,2,4,,3,4,3,0,,,4,4,10,,0,1,0,3,,4,9,,,,5,,4,2,1,420,5,8,1,2,,4,,14,4,10,,5,,1,4,,,1,,5,Prefer not to say,Prefer not to say,I describe myself in another way,No,No,Yes,Yes,12 years old,,2,4,4,4,2,4,Sometimes,Not at all like me,A little like me,Mostly like me,Some of the time,Some of the time,Rarely,All of the time,All of the time,,Some of the time,Disagree,,Strongly agree,Strongly disagree,Disagree,Never,Almost Never,,Never,5 - Not happy or unhappy,Strongly disagree,Never,Always,,Never,,Never,Sometimes,Always,Sometimes,Never,Hardly ever,Strongly disagree,Strongly disagree,Yes,7 days,Around 1 hour,Almost always,None,None ,No,Yes,Yes,Yes,Yes,No,No,No,No,Quite a bit,3,1 - Never,2,4,No,,,Uncomfortable,Slightly,3,4,,,Yes,Fully,,,Fully,5 - Not happy or unhappy,No,Unsure,Very unsafe,,Strongly disagree,Strongly agree,Strongly disagree,Often or always,Occasionally,Some of the time,Hardly ever,Never,Strongly agree,Fully,Don't know,Unsure,Very interested,Not at all,Often,Quite a bit,A little,Quite a bit,,4+ times in last 6 months,A few times a week,4+ times in last 6 months,No,,,Very comfortable,Fully,Year 10,,Non-SEN,Ethnic minority,No,School C
4,2,2,2,2,3,1,13,4,5,1,4,2,3,4,4,2,4,1,3,4,5,4,4,1,5,,2,1,3,4,5,1,3,1,9,2,1,2,1,2,2,2,2,1,3,3,5,1,2,0,1,60,4,7,,5,1,4,1,0,0,0,0,0,0,1,0,2,1,3,,,,,,,3,4,2,3,1,0,,,1,2,5,1,2,5,2,3,3,2,2,3,4,4,3,3,,1,3,2,1,4,3,2,2,5,2,3,4,1,3,1,,,8,1,1,2,1,6,15,4,11,26,,6,9,11,5,7,0,60,2,2,4,,1,2,,,2,,10,5,,1,2,0,7,4,12,6,I describe myself in another way,No,Gay/lesbian,No,No,I don't know,Yes,12 years old,4,5 - Completely true,1 - Completely not true,4,2,3,4,Very often,A little like me,Mostly like me,Not at all like me,Some of the time,Often,All of the time,Often,Often,None of the time,All of the time,,Agree,Strongly agree,Disagree,Strongly disagree,Very Often,Never,Sometimes,Never,9,Agree,Never,Sometimes,Never,Sometimes,Sometimes,Sometimes,Sometimes,Never,Always,Always,Never,Strongly agree,Agree,No,1 day,Around 1 hour,Not often,5 to 6 hours,Lots,Yes,No,No,No,No,No,No,Yes,No,A little,1 - Never,3,,,,,,,Mostly,4,2,3,1 - Never,No,,,Very uncomfortable,Slightly,5 - Not happy or unhappy,Yes,Unsure,Don't know,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Some of the time,Occasionally,Hardly ever,Hardly ever,Occasionally,Disagree,,Richer,A lot,A little interested,Not at all,Never,Somewhat,A little,A little,A lot,1-3 times in last 6 months,4+ times in last 6 months,A few times a week,Yes,Mostly,Not helpful,,,Year 8,FSM,SEN,White British,Yes,School F
5,3,1,3,2,2,3,15,5,4,2,5,4,3,4,3,4,1,1,3,4,3,1,4,5,5,,3,3,1,2,5,2,2,1,0,,1,3,1,2,1,1,,2,3,3,2,1,,0,4,30,5,1,4,4,9,3,0,1,0,1,1,1,1,1,0,5,5,3,,2,1,1,3,,1,5,1,5,4,1,3,1,,4,9,0,0,,3,1,5,1,5,3,2,4,4,4,2,2,3,4,4,1,5,5,4,1,2,1,1,0,,,3,2,,1,1,1,1,4,15,4,9,25,,4,0,,2,,0,120,1,8,3,2.5,2,3,7.5,9,5,,15,9,,1,1,0,12,1,15,11,Currently unsure,Prefer not to say,Bi/pansexual,Unsure,No,No,I don't know,14 years old,5 - Completely true,4,2,5 - Completely true,4,3,4,Often,Mostly like me,Not at all like me,Not at all like me,Some of the time,Often,Some of the time,None of the time,Often,All of the time,All of the time,,Disagree,Disagree,Strongly agree,Agree,Very Often,Almost Never,Almost Never,Never,0 - Very unhappy,,Never,Always,Never,Sometimes,Never,Never,,Sometimes,Always,Always,Some of the time,Strongly agree,,No,4 days,Around 30 minutes,Almost never,None,Several,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,A lot,5 - Always,3,,2,Yes,Not at all,Very helpful,,Not at all,5 - Always,1 - Never,5 - Always,4,Yes,Mostly,Not helpful,,Fully,9,No,No,,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly agree,Never,Occasionally,Some of the time,Hardly ever,Hardly ever,Strongly disagree,Slightly,Poorer,A lot,Very interested,Fully,Often,A lot,A lot,Quite a bit,Not at all,1-3 times in last 6 months,Not at all,Not at all,No,,,Comfortable,Slightly,,FSM,SEN,Ethnic minority,Yes,School D
,4,2,2,1,1,2,4,5,3,,4,3,2,2,4,5,5,4,1,2,2,3,2,3,3,1,1,3,2,2,1,3,4,3,4,2,3,3,1,3,3,2,3,1,2,3,1,4,2,0,7,,4,5,8,3,3,2,0,1,1,0,1,1,0,0,0,4,5,1,,5,0,,,1,1,4,1,3,4,0,,,4,2,6,0,2,1,,3,2,,5,3,2,4,,3,3,4,3,4,5,1,5,3,2,3,2,1,4,1,,3,,4,8,,0,2,1,7,,2,18,16,16,11,4,6,1,4,0,,2,4,2,1,4,,,10,4,,12,6,,1,2,,,1,13,8,,I describe myself in another way,Gay/lesbian,No,Yes,Yes,No,3 years old,5 - Completely true,3,,4,3,2,2,Very often,Very much like me,Very much like me,Mostly like me,None of the time,Rarely,Rarely,Some of the time,Rarely,Some of the time,Some of the time,Strongly agree,Strongly agree,Disagree,Agree,Agree,Never,Sometimes,Fairly Often,Sometimes,4,Agree,Always,Always,Never,Always,Always,Sometimes,Always,Never,Sometimes,Always,Often or always,Strongly disagree,Agree,No,7 days,,Not often,3 to 4 hours,Limited,No,Yes,Yes,No,Yes,Yes,No,No,No,Quite a bit,5 - Always,1 - Never,,5 - Always,No,,,Very uncomfortable,Not at all,4,1 - Never,3,4,No,,,Very comfortable,Slightly,6,No,Unsure,Very safe,,Neither agree nor disagree,Agree,,Never,Occasionally,Some of the time,Hardly ever,,Disagree,Mostly,Don't know,A lot,Very interested,Unsure,Often,A lot,Somewhat,A little,Somewhat,1-3 times in last 6 months,Not at all,A few times a week,Yes,,Very helpful,,Fully,Year 8,,Non-SEN,White British,Yes,School G
5,4,6,2,2,3,2,15,1,5,2,2,2,4,4,4,2,2,1,3,2,5,3,3,1,4,3,4,3,1,4,1,4,1,3,0,,1,2,2,,1,2,2,3,1,1,1,1,3,1,0,90,5,5,4,1,3,1,1,0,1,1,0,0,0,0,0,2,4,2,3,3,,,,,3,1,,4,2,,,,,2,3,0,,1,1,1,4,4,4,3,2,2,3,4,,4,3,1,5,2,5,3,2,,3,2,4,1,4,3,,1,8,1,1,1,1,7,22,4,9,21,10,7,0,,1,6,1,0,1,4,1,,,4,,,2,12,,3,19,1,1,,,2,,6,Currently unsure,I describe myself in another way,Prefer not to say,No,No,I don't know,No,14 years old,1 - Completely not true,5 - Completely true,2,2,2,4,4,Very often,A little like me,A little like me,Not at all like me,Some of the time,Rarely,All of the time,Some of the time,Some of the time,None of the time,Often,Disagree,Strongly disagree,Disagree,Strongly agree,Strongly disagree,Never,Fairly Often,Never,Sometimes,0 - Very unhappy,,Never,Sometimes,Sometimes,,Never,Sometimes,Sometimes,Always,Never,Never,Often or always,Strongly agree,Disagree,Yes,0 days,Around 1.5 hours,Almost never,3 to 4 hours,None ,Yes,No,Yes,Yes,No,No,No,No,No,A little,4,2,3,3,,,,,Mostly,1 - Never,,4,2,,,,,Slightly,3,No,,Very safe,Strongly agree,Strongly agree,Disagree,Disagree,Hardly ever,Occasionally,Some of the time,Some of the time,Occasionally,Strongly disagree,,Don't know,A lot,Not interested,Unsure,Sometimes,A lot,Somewhat,A little,,4+ times in last 6 months,1-3 times in last 6 months,A few times a week,Yes,Fully,Very helpful,,Not at all,Year 8,FSM,SEN,Ethnic minority,Yes,School G
3,1,4,1,1,2,3,3,,1,,,4,3,8,4,3,4,1,5,4,1,,5,4,1,3,3,1,,3,5,4,3,1,8,4,1,1,2,3,1,2,,,3,3,2,1,2,0,1,120,2,5,6,4,1,,0,0,1,0,0,0,0,1,1,,1,2,1,2,0,,,,1,1,2,1,3,0,,,4,3,2,0,2,3,2,3,5,5,4,3,2,2,2,4,3,3,1,2,3,4,5,3,4,1,4,4,3,,,,,3,,,1,,1,5,,8,12,,,3,8,,2,7,0,120,4,4,,,4,,,10,,6,7,2,11.3333333333333,1,1,1,6,4,13,4,Non-binary,Yes,I describe myself in another way,Yes,Yes,No,I don't know,2 years old,,1 - Completely not true,,,4,3,8,Very often,Somewhat like me,Mostly like me,Not at all like me,All of the time,Often,None of the time,,All of the time,Often,None of the time,Disagree,Disagree,Strongly agree,,Disagree,Very Often,Fairly Often,Sometimes,Never,8,Strongly disagree,Never,Never,Sometimes,Always,Never,Sometimes,,,Always,Always,Some of the time,Strongly agree,Agree,No,1 day,Around 2 hours or more,Often,3 to 4 hours,,No,No,Yes,No,No,No,No,Yes,Yes,,1 - Never,2,1 - Never,2,No,,,,Not at all,1 - Never,2,1 - Never,3,No,,,Very comfortable,Mostly,2,No,Unsure,Fairly unsafe,Agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Hardly ever,Occasionally,Some of the time,Some of the time,Some of the time,Strongly disagree,Mostly,About the same,Not many,A little interested,Mostly,Never,A lot,Somewhat,Quite a bit,Not at all,A few times a week,A few times a week,4+ times in last 6 months,,,,,Mostly,,,SEN,,Yes,School E
