cat,cat_lab,count,percentage,measure,n_responses,school_lab,school_group,school_group_lab,plot_group,measure_lab
"[0, 1, nan]","['No', 'Yes', 'No response']","[331, 334, 28]","[47.76334776334777, 48.1962481962482, 4.040404040404041]",young_carer,693.0,School D,0,Other schools,young_carer,"In the last year, have you regularly taken on caring
    responsibilities for a family member - e.g. due to illness, disability,
    mental health condition or drug/alcohol dependency?"
"[1, 0, 2, nan]","['Yes', 'No', 'Unsure', 'No response']","[221, 182, 215, 75]","[31.89033189033189, 26.262626262626267, 31.024531024531026, 10.822510822510822]",care_experience,693.0,School D,0,Other schools,care_experience,"Are you or have you ever been in care (living in
    a foster placement, residential placement, or private/kinship care)?"
"[8, 10, nan]","['Year 8', 'Year 10', 'No data']","[369, 259, 65]","[53.246753246753244, 37.37373737373738, 9.37950937950938]",year_group,693.0,School D,0,Other schools,year_group,Year group
"[0, 1, nan]","['Non-FSM', 'FSM', 'No data']","[289, 329, 75]","[41.702741702741704, 47.474747474747474, 10.822510822510822]",fsm,693.0,School D,0,Other schools,fsm,Free school meals
"[0, 1, nan]","['Non-SEN', 'SEN', 'No data']","[395, 262, 36]","[56.99855699855701, 37.8066378066378, 5.194805194805195]",sen,693.0,School D,0,Other schools,neuro,Special educational needs
"[1, 2, nan]","['Ethnic minority', 'White British', 'No data']","[328, 342, 23]","[47.33044733044733, 49.35064935064935, 3.318903318903319]",ethnicity,693.0,School D,0,Other schools,ethnicity,Ethnicity
"[0, 1, nan]","['No', 'Yes', 'No data']","[298, 324, 71]","[43.001443001443, 46.75324675324675, 10.245310245310245]",english_additional,693.0,School D,0,Other schools,english_additional,English as an additional language
"[1, 2, 3, 4, 5, 6, nan]","['Girl', 'Boy', 'Non-binary', 'I describe myself in another way', 'Currently unsure', 'Prefer not to say', 'No response']","[16, 18, 13, 15, 19, 14, 11]","[15.09433962264151, 16.9811320754717, 12.264150943396226, 14.150943396226415, 17.92452830188679, 13.20754716981132, 10.377358490566039]",gender,106.0,School E,1,Your school,gender,Gender
"[1, 2, 3, 4, 5, nan]","['Yes', 'No', 'Prefer not to say', 'I describe myself in another way', 'Not sure', 'No response']","[18, 23, 22, 23, 20, 0]","[16.9811320754717, 21.69811320754717, 20.754716981132077, 21.69811320754717, 18.867924528301888, 0.0]",transgender,106.0,School E,1,Your school,gender,Do you consider yourself to be transgender?
"[1, 2, 3, 4, 5, 6, nan]","['Bi/pansexual', 'Gay/lesbian', 'Heterosexual/straight', 'I describe myself in another way', 'Currently unsure', 'Prefer not to say', 'No response']","[18, 21, 14, 17, 22, 14, 0]","[16.9811320754717, 19.81132075471698, 13.20754716981132, 16.037735849056602, 20.754716981132077, 13.20754716981132, 0.0]",sexual_orientation,106.0,School E,1,Your school,sexual_orientation,Sexual orientation
"[1, 2, 3, nan]","['Yes', 'No', 'Unsure', 'No response']","[33, 23, 35, 15]","[31.132075471698112, 21.69811320754717, 33.0188679245283, 14.150943396226415]",neurodivergent,106.0,School E,1,Your school,neuro,Do you identify as neurodivergent?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[35, 31, 36, 4]","[33.0188679245283, 29.245283018867923, 33.9622641509434, 3.7735849056603774]",birth_parent1,106.0,School E,1,Your school,birth,Was birth parent 1 born outside the UK?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[28, 31, 42, 5]","[26.41509433962264, 29.245283018867923, 39.62264150943396, 4.716981132075472]",birth_parent2,106.0,School E,1,Your school,birth,Was birth parent 2 born outside the UK?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[38, 32, 33, 3]","[35.84905660377358, 30.18867924528302, 31.132075471698112, 2.8301886792452833]",birth_you,106.0,School E,1,Your school,birth,Were you born outside the UK?
"[0, 1, nan]","['No', 'Yes', 'No response']","[51, 51, 4]","[48.113207547169814, 48.113207547169814, 3.7735849056603774]",young_carer,106.0,School E,1,Your school,young_carer,"In the last year, have you regularly taken on caring
    responsibilities for a family member - e.g. due to illness, disability,
    mental health condition or drug/alcohol dependency?"
"[1, 0, 2, nan]","['Yes', 'No', 'Unsure', 'No response']","[36, 23, 33, 14]","[33.9622641509434, 21.69811320754717, 31.132075471698112, 13.20754716981132]",care_experience,106.0,School E,1,Your school,care_experience,"Are you or have you ever been in care (living in
    a foster placement, residential placement, or private/kinship care)?"
"[8, 10, nan]","['Year 8', 'Year 10', 'No data']","[48, 47, 11]","[45.28301886792453, 44.339622641509436, 10.377358490566039]",year_group,106.0,School E,1,Your school,year_group,Year group
"[0, 1, nan]","['Non-FSM', 'FSM', 'No data']","[42, 52, 12]","[39.62264150943396, 49.056603773584904, 11.320754716981133]",fsm,106.0,School E,1,Your school,fsm,Free school meals
"[0, 1, nan]","['Non-SEN', 'SEN', 'No data']","[46, 53, 7]","[43.39622641509434, 50.0, 6.60377358490566]",sen,106.0,School E,1,Your school,neuro,Special educational needs
"[1, 2, nan]","['Ethnic minority', 'White British', 'No data']","[45, 55, 6]","[42.45283018867924, 51.886792452830186, 5.660377358490567]",ethnicity,106.0,School E,1,Your school,ethnicity,Ethnicity
"[0, 1, nan]","['No', 'Yes', 'No data']","[51, 45, 10]","[48.113207547169814, 42.45283018867924, 9.433962264150944]",english_additional,106.0,School E,1,Your school,english_additional,English as an additional language
"[1, 2, 3, 4, 5, 6, nan]","['Girl', 'Boy', 'Non-binary', 'I describe myself in another way', 'Currently unsure', 'Prefer not to say', 'No response']","[95, 124, 88, 110, 103, 104, 70]","[13.688760806916425, 17.86743515850144, 12.680115273775217, 15.85014409221902, 14.84149855907781, 14.985590778097983, 10.086455331412104]",gender,694.0,School E,0,Other schools,gender,Gender
"[1, 2, 3, 4, 5, nan]","['Yes', 'No', 'Prefer not to say', 'I describe myself in another way', 'Not sure', 'No response']","[134, 126, 124, 115, 109, 86]","[19.30835734870317, 18.155619596541786, 17.86743515850144, 16.570605187319885, 15.706051873198849, 12.39193083573487]",transgender,694.0,School E,0,Other schools,gender,Do you consider yourself to be transgender?
"[1, 2, 3, 4, 5, 6, nan]","['Bi/pansexual', 'Gay/lesbian', 'Heterosexual/straight', 'I describe myself in another way', 'Currently unsure', 'Prefer not to say', 'No response']","[103, 118, 116, 126, 111, 117, 3]","[14.84149855907781, 17.002881844380404, 16.714697406340058, 18.155619596541786, 15.994236311239193, 16.85878962536023, 0.43227665706051877]",sexual_orientation,694.0,School E,0,Other schools,sexual_orientation,Sexual orientation
"[1, 2, 3, nan]","['Yes', 'No', 'Unsure', 'No response']","[215, 174, 226, 79]","[30.979827089337174, 25.072046109510087, 32.564841498559076, 11.38328530259366]",neurodivergent,694.0,School E,0,Other schools,neuro,Do you identify as neurodivergent?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[214, 236, 213, 31]","[30.835734870317005, 34.00576368876081, 30.69164265129683, 4.46685878962536]",birth_parent1,694.0,School E,0,Other schools,birth,Was birth parent 1 born outside the UK?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[248, 228, 192, 26]","[35.73487031700288, 32.85302593659942, 27.6657060518732, 3.7463976945244957]",birth_parent2,694.0,School E,0,Other schools,birth,Was birth parent 2 born outside the UK?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[196, 246, 227, 25]","[28.24207492795389, 35.44668587896253, 32.70893371757925, 3.602305475504323]",birth_you,694.0,School E,0,Other schools,birth,Were you born outside the UK?
"[0, 1, nan]","['No', 'Yes', 'No response']","[326, 338, 30]","[46.97406340057637, 48.70317002881844, 4.322766570605188]",young_carer,694.0,School E,0,Other schools,young_carer,"In the last year, have you regularly taken on caring
    responsibilities for a family member - e.g. due to illness, disability,
    mental health condition or drug/alcohol dependency?"
"[1, 0, 2, nan]","['Yes', 'No', 'Unsure', 'No response']","[213, 194, 212, 75]","[30.69164265129683, 27.953890489913547, 30.547550432276655, 10.806916426512968]",care_experience,694.0,School E,0,Other schools,care_experience,"Are you or have you ever been in care (living in
    a foster placement, residential placement, or private/kinship care)?"
"[8, 10, nan]","['Year 8', 'Year 10', 'No data']","[368, 265, 61]","[53.02593659942363, 38.18443804034582, 8.789625360230549]",year_group,694.0,School E,0,Other schools,year_group,Year group
"[0, 1, nan]","['Non-FSM', 'FSM', 'No data']","[288, 327, 79]","[41.4985590778098, 47.11815561959654, 11.38328530259366]",fsm,694.0,School E,0,Other schools,fsm,Free school meals
"[0, 1, nan]","['Non-SEN', 'SEN', 'No data']","[400, 261, 33]","[57.636887608069166, 37.60806916426513, 4.755043227665706]",sen,694.0,School E,0,Other schools,neuro,Special educational needs
"[1, 2, nan]","['Ethnic minority', 'White British', 'No data']","[338, 335, 21]","[48.70317002881844, 48.27089337175792, 3.025936599423631]",ethnicity,694.0,School E,0,Other schools,ethnicity,Ethnicity
"[0, 1, nan]","['No', 'Yes', 'No data']","[297, 324, 73]","[42.79538904899135, 46.68587896253602, 10.518731988472622]",english_additional,694.0,School E,0,Other schools,english_additional,English as an additional language
"[1, 2, 3, 4, 5, 6, nan]","['Girl', 'Boy', 'Non-binary', 'I describe myself in another way', 'Currently unsure', 'Prefer not to say', 'No response']","[13, 21, 14, 13, 22, 16, 11]","[11.818181818181818, 19.090909090909093, 12.727272727272727, 11.818181818181818, 20.0, 14.545454545454545, 10.0]",gender,110.0,School F,1,Your school,gender,Gender
"[1, 2, 3, 4, 5, nan]","['Yes', 'No', 'Prefer not to say', 'I describe myself in another way', 'Not sure', 'No response']","[22, 18, 21, 21, 26, 2]","[20.0, 16.363636363636363, 19.090909090909093, 19.090909090909093, 23.636363636363637, 1.8181818181818181]",transgender,110.0,School F,1,Your school,gender,Do you consider yourself to be transgender?
"[1, 2, 3, 4, 5, 6, nan]","['Bi/pansexual', 'Gay/lesbian', 'Heterosexual/straight', 'I describe myself in another way', 'Currently unsure', 'Prefer not to say', 'No response']","[15, 18, 21, 18, 16, 22, 0]","[13.636363636363635, 16.363636363636363, 19.090909090909093, 16.363636363636363, 14.545454545454545, 20.0, 0.0]",sexual_orientation,110.0,School F,1,Your school,sexual_orientation,Sexual orientation
"[1, 2, 3, nan]","['Yes', 'No', 'Unsure', 'No response']","[28, 37, 34, 11]","[25.454545454545453, 33.63636363636363, 30.909090909090907, 10.0]",neurodivergent,110.0,School F,1,Your school,neuro,Do you identify as neurodivergent?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[40, 36, 31, 3]","[36.36363636363637, 32.72727272727273, 28.18181818181818, 2.727272727272727]",birth_parent1,110.0,School F,1,Your school,birth,Was birth parent 1 born outside the UK?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[38, 34, 34, 4]","[34.54545454545455, 30.909090909090907, 30.909090909090907, 3.6363636363636362]",birth_parent2,110.0,School F,1,Your school,birth,Was birth parent 2 born outside the UK?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[37, 37, 31, 5]","[33.63636363636363, 33.63636363636363, 28.18181818181818, 4.545454545454546]",birth_you,110.0,School F,1,Your school,birth,Were you born outside the UK?
"[0, 1, nan]","['No', 'Yes', 'No response']","[53, 50, 7]","[48.18181818181818, 45.45454545454545, 6.363636363636363]",young_carer,110.0,School F,1,Your school,young_carer,"In the last year, have you regularly taken on caring
    responsibilities for a family member - e.g. due to illness, disability,
    mental health condition or drug/alcohol dependency?"
"[1, 0, 2, nan]","['Yes', 'No', 'Unsure', 'No response']","[36, 28, 37, 9]","[32.72727272727273, 25.454545454545453, 33.63636363636363, 8.181818181818182]",care_experience,110.0,School F,1,Your school,care_experience,"Are you or have you ever been in care (living in
    a foster placement, residential placement, or private/kinship care)?"
"[8, 10, nan]","['Year 8', 'Year 10', 'No data']","[103, nan, nan]","[93.63636363636364, nan, nan]",year_group,103.0,School F,1,Your school,year_group,Year group
"[0, 1, nan]","['Non-FSM', 'FSM', 'No data']","[42, 54, 14]","[38.18181818181819, 49.09090909090909, 12.727272727272727]",fsm,110.0,School F,1,Your school,fsm,Free school meals
"[0, 1, nan]","['Non-SEN', 'SEN', 'No data']","[52, 53, 5]","[47.27272727272727, 48.18181818181818, 4.545454545454546]",sen,110.0,School F,1,Your school,neuro,Special educational needs
"[1, 2, nan]","['Ethnic minority', 'White British', 'No data']","[61, 46, 3]","[55.45454545454545, 41.81818181818181, 2.727272727272727]",ethnicity,110.0,School F,1,Your school,ethnicity,Ethnicity
"[0, 1, nan]","['No', 'Yes', 'No data']","[42, 53, 15]","[38.18181818181819, 48.18181818181818, 13.636363636363635]",english_additional,110.0,School F,1,Your school,english_additional,English as an additional language
"[1, 2, 3, 4, 5, 6, nan]","['Girl', 'Boy', 'Non-binary', 'I describe myself in another way', 'Currently unsure', 'Prefer not to say', 'No response']","[98, 121, 87, 112, 100, 102, 70]","[14.202898550724639, 17.53623188405797, 12.608695652173912, 16.231884057971012, 14.492753623188406, 14.782608695652174, 10.144927536231885]",gender,690.0,School F,0,Other schools,gender,Gender
"[1, 2, 3, 4, 5, nan]","['Yes', 'No', 'Prefer not to say', 'I describe myself in another way', 'Not sure', 'No response']","[130, 131, 125, 117, 103, 84]","[18.84057971014493, 18.985507246376812, 18.115942028985508, 16.956521739130434, 14.927536231884059, 12.173913043478262]",transgender,690.0,School F,0,Other schools,gender,Do you consider yourself to be transgender?
"[1, 2, 3, 4, 5, 6, nan]","['Bi/pansexual', 'Gay/lesbian', 'Heterosexual/straight', 'I describe myself in another way', 'Currently unsure', 'Prefer not to say', 'No response']","[106, 121, 109, 125, 117, 109, 3]","[15.36231884057971, 17.53623188405797, 15.797101449275363, 18.115942028985508, 16.956521739130434, 15.797101449275363, 0.43478260869565216]",sexual_orientation,690.0,School F,0,Other schools,sexual_orientation,Sexual orientation
"[1, 2, 3, nan]","['Yes', 'No', 'Unsure', 'No response']","[220, 160, 227, 83]","[31.88405797101449, 23.18840579710145, 32.89855072463768, 12.028985507246377]",neurodivergent,690.0,School F,0,Other schools,neuro,Do you identify as neurodivergent?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[209, 231, 218, 32]","[30.289855072463766, 33.47826086956522, 31.594202898550726, 4.63768115942029]",birth_parent1,690.0,School F,0,Other schools,birth,Was birth parent 1 born outside the UK?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[238, 225, 200, 27]","[34.492753623188406, 32.608695652173914, 28.985507246376812, 3.91304347826087]",birth_parent2,690.0,School F,0,Other schools,birth,Was birth parent 2 born outside the UK?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[197, 241, 229, 23]","[28.550724637681157, 34.92753623188406, 33.18840579710145, 3.3333333333333335]",birth_you,690.0,School F,0,Other schools,birth,Were you born outside the UK?
"[0, 1, nan]","['No', 'Yes', 'No response']","[324, 339, 27]","[46.95652173913044, 49.130434782608695, 3.91304347826087]",young_carer,690.0,School F,0,Other schools,young_carer,"In the last year, have you regularly taken on caring
    responsibilities for a family member - e.g. due to illness, disability,
    mental health condition or drug/alcohol dependency?"
"[1, 0, 2, nan]","['Yes', 'No', 'Unsure', 'No response']","[213, 189, 208, 80]","[30.869565217391305, 27.391304347826086, 30.144927536231886, 11.594202898550725]",care_experience,690.0,School F,0,Other schools,care_experience,"Are you or have you ever been in care (living in
    a foster placement, residential placement, or private/kinship care)?"
"[8, 10, nan]","['Year 8', 'Year 10', 'No data']","[313, 312, 65]","[45.36231884057971, 45.21739130434783, 9.420289855072465]",year_group,690.0,School F,0,Other schools,year_group,Year group
"[0, 1, nan]","['Non-FSM', 'FSM', 'No data']","[288, 325, 77]","[41.73913043478261, 47.10144927536232, 11.159420289855072]",fsm,690.0,School F,0,Other schools,fsm,Free school meals
"[0, 1, nan]","['Non-SEN', 'SEN', 'No data']","[394, 261, 35]","[57.10144927536231, 37.826086956521735, 5.072463768115942]",sen,690.0,School F,0,Other schools,neuro,Special educational needs
"[1, 2, nan]","['Ethnic minority', 'White British', 'No data']","[322, 344, 24]","[46.666666666666664, 49.85507246376812, 3.4782608695652173]",ethnicity,690.0,School F,0,Other schools,ethnicity,Ethnicity
"[0, 1, nan]","['No', 'Yes', 'No data']","[306, 316, 68]","[44.34782608695652, 45.79710144927536, 9.855072463768117]",english_additional,690.0,School F,0,Other schools,english_additional,English as an additional language
"[1, 2, 3, 4, 5, 6, nan]","['Girl', 'Boy', 'Non-binary', 'I describe myself in another way', 'Currently unsure', 'Prefer not to say', 'No response']","[13, 23, 15, 19, 16, 15, 5]","[12.264150943396226, 21.69811320754717, 14.150943396226415, 17.92452830188679, 15.09433962264151, 14.150943396226415, 4.716981132075472]",gender,106.0,School G,1,Your school,gender,Gender
"[1, 2, 3, 4, 5, nan]","['Yes', 'No', 'Prefer not to say', 'I describe myself in another way', 'Not sure', 'No response']","[19, 21, 22, 19, 19, 6]","[17.92452830188679, 19.81132075471698, 20.754716981132077, 17.92452830188679, 17.92452830188679, 5.660377358490567]",transgender,106.0,School G,1,Your school,gender,Do you consider yourself to be transgender?
"[1, 2, 3, 4, 5, 6, nan]","['Bi/pansexual', 'Gay/lesbian', 'Heterosexual/straight', 'I describe myself in another way', 'Currently unsure', 'Prefer not to say', 'No response']","[11, 16, 15, 26, 19, 18, 1]","[10.377358490566039, 15.09433962264151, 14.150943396226415, 24.528301886792452, 17.92452830188679, 16.9811320754717, 0.9433962264150944]",sexual_orientation,106.0,School G,1,Your school,sexual_orientation,Sexual orientation
"[1, 2, 3, nan]","['Yes', 'No', 'Unsure', 'No response']","[34, 29, 34, 9]","[32.075471698113205, 27.358490566037734, 32.075471698113205, 8.49056603773585]",neurodivergent,106.0,School G,1,Your school,neuro,Do you identify as neurodivergent?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[29, 37, 34, 6]","[27.358490566037734, 34.90566037735849, 32.075471698113205, 5.660377358490567]",birth_parent1,106.0,School G,1,Your school,birth,Was birth parent 1 born outside the UK?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[40, 37, 27, 2]","[37.735849056603776, 34.90566037735849, 25.471698113207548, 1.8867924528301887]",birth_parent2,106.0,School G,1,Your school,birth,Was birth parent 2 born outside the UK?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[28, 39, 36, 3]","[26.41509433962264, 36.79245283018868, 33.9622641509434, 2.8301886792452833]",birth_you,106.0,School G,1,Your school,birth,Were you born outside the UK?
"[0, 1, nan]","['No', 'Yes', 'No response']","[51, 50, 5]","[48.113207547169814, 47.16981132075472, 4.716981132075472]",young_carer,106.0,School G,1,Your school,young_carer,"In the last year, have you regularly taken on caring
    responsibilities for a family member - e.g. due to illness, disability,
    mental health condition or drug/alcohol dependency?"
"[1, 0, 2, nan]","['Yes', 'No', 'Unsure', 'No response']","[38, 21, 31, 16]","[35.84905660377358, 19.81132075471698, 29.245283018867923, 15.09433962264151]",care_experience,106.0,School G,1,Your school,care_experience,"Are you or have you ever been in care (living in
    a foster placement, residential placement, or private/kinship care)?"
"[8, 10, nan]","['Year 8', 'Year 10', 'No data']","[49, 46, 11]","[46.22641509433962, 43.39622641509434, 10.377358490566039]",year_group,106.0,School G,1,Your school,year_group,Year group
"[0, 1, nan]","['Non-FSM', 'FSM', 'No data']","[40, 59, 7]","[37.735849056603776, 55.660377358490564, 6.60377358490566]",fsm,106.0,School G,1,Your school,fsm,Free school meals
"[0, 1, nan]","['Non-SEN', 'SEN', 'No data']","[54, 46, 6]","[50.943396226415096, 43.39622641509434, 5.660377358490567]",sen,106.0,School G,1,Your school,neuro,Special educational needs
"[1, 2, nan]","['Ethnic minority', 'White British', 'No data']","[44, 59, 3]","[41.509433962264154, 55.660377358490564, 2.8301886792452833]",ethnicity,106.0,School G,1,Your school,ethnicity,Ethnicity
"[0, 1, nan]","['No', 'Yes', 'No data']","[47, 48, 11]","[44.339622641509436, 45.28301886792453, 10.377358490566039]",english_additional,106.0,School G,1,Your school,english_additional,English as an additional language
"[1, 2, 3, 4, 5, 6, nan]","['Girl', 'Boy', 'Non-binary', 'I describe myself in another way', 'Currently unsure', 'Prefer not to say', 'No response']","[98, 119, 86, 106, 106, 103, 76]","[14.121037463976945, 17.146974063400577, 12.39193083573487, 15.273775216138327, 15.273775216138327, 14.84149855907781, 10.951008645533141]",gender,694.0,School G,0,Other schools,gender,Gender
"[1, 2, 3, 4, 5, nan]","['Yes', 'No', 'Prefer not to say', 'I describe myself in another way', 'Not sure', 'No response']","[133, 128, 124, 119, 110, 80]","[19.164265129683, 18.443804034582133, 17.86743515850144, 17.146974063400577, 15.85014409221902, 11.527377521613833]",transgender,694.0,School G,0,Other schools,gender,Do you consider yourself to be transgender?
"[1, 2, 3, 4, 5, 6, nan]","['Bi/pansexual', 'Gay/lesbian', 'Heterosexual/straight', 'I describe myself in another way', 'Currently unsure', 'Prefer not to say', 'No response']","[110, 123, 115, 117, 114, 113, 2]","[15.85014409221902, 17.723342939481267, 16.570605187319885, 16.85878962536023, 16.42651296829971, 16.282420749279538, 0.2881844380403458]",sexual_orientation,694.0,School G,0,Other schools,sexual_orientation,Sexual orientation
"[1, 2, 3, nan]","['Yes', 'No', 'Unsure', 'No response']","[214, 168, 227, 85]","[30.835734870317005, 24.207492795389047, 32.70893371757925, 12.247838616714697]",neurodivergent,694.0,School G,0,Other schools,neuro,Do you identify as neurodivergent?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[220, 230, 215, 29]","[31.70028818443804, 33.14121037463977, 30.979827089337174, 4.178674351585014]",birth_parent1,694.0,School G,0,Other schools,birth,Was birth parent 1 born outside the UK?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[236, 222, 207, 29]","[34.00576368876081, 31.988472622478387, 29.827089337175792, 4.178674351585014]",birth_parent2,694.0,School G,0,Other schools,birth,Was birth parent 2 born outside the UK?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[206, 239, 224, 25]","[29.68299711815562, 34.43804034582133, 32.27665706051873, 3.602305475504323]",birth_you,694.0,School G,0,Other schools,birth,Were you born outside the UK?
"[0, 1, nan]","['No', 'Yes', 'No response']","[326, 339, 29]","[46.97406340057637, 48.84726224783862, 4.178674351585014]",young_carer,694.0,School G,0,Other schools,young_carer,"In the last year, have you regularly taken on caring
    responsibilities for a family member - e.g. due to illness, disability,
    mental health condition or drug/alcohol dependency?"
"[1, 0, 2, nan]","['Yes', 'No', 'Unsure', 'No response']","[211, 196, 214, 73]","[30.403458213256485, 28.24207492795389, 30.835734870317005, 10.518731988472622]",care_experience,694.0,School G,0,Other schools,care_experience,"Are you or have you ever been in care (living in
    a foster placement, residential placement, or private/kinship care)?"
"[8, 10, nan]","['Year 8', 'Year 10', 'No data']","[367, 266, 61]","[52.88184438040345, 38.328530259366, 8.789625360230549]",year_group,694.0,School G,0,Other schools,year_group,Year group
"[0, 1, nan]","['Non-FSM', 'FSM', 'No data']","[290, 320, 84]","[41.78674351585015, 46.10951008645533, 12.103746397694524]",fsm,694.0,School G,0,Other schools,fsm,Free school meals
"[0, 1, nan]","['Non-SEN', 'SEN', 'No data']","[392, 268, 34]","[56.48414985590778, 38.61671469740634, 4.899135446685879]",sen,694.0,School G,0,Other schools,neuro,Special educational needs
"[1, 2, nan]","['Ethnic minority', 'White British', 'No data']","[339, 331, 24]","[48.84726224783862, 47.69452449567723, 3.45821325648415]",ethnicity,694.0,School G,0,Other schools,ethnicity,Ethnicity
"[0, 1, nan]","['No', 'Yes', 'No data']","[301, 321, 72]","[43.371757925072046, 46.2536023054755, 10.37463976945245]",english_additional,694.0,School G,0,Other schools,english_additional,English as an additional language
