variable,mean,count,school_lab,year_group_lab,gender_lab,fsm_lab,sen_lab
school_belong_score,2.8,15.0,School B,All,Boy,All,All
staff_relationship_score,,,School B,All,Boy,All,All
home_relationship_score,11.615384615384615,13.0,School B,All,Boy,All,All
home_happy_score,4.333333333333333,15.0,School B,All,Boy,All,All
local_env_score,16.166666666666668,12.0,School B,All,Boy,All,All
discrim_score,1.0,16.0,School B,All,Boy,All,All
belong_local_score,0.4375,16.0,School B,All,Boy,All,All
wealth_score,0.25,12.0,School B,All,Boy,All,All
future_score,,,School B,All,Boy,All,All
climate_score,0.46153846153846156,13.0,School B,All,Boy,All,All
social_score,11.666666666666666,12.0,School B,All,Boy,All,All
bully_score,7.3125,16.0,School B,All,Boy,All,All
birth_you_age_score,7.556603773584905,53.0,School B,All,All,FSM,All
autonomy_score,18.666666666666668,39.0,School B,All,All,FSM,All
life_satisfaction_score,5.5,56.0,School B,All,All,FSM,All
optimism_score,12.125,32.0,School B,All,All,FSM,All
wellbeing_score,21.344827586206897,29.0,School B,All,All,FSM,All
esteem_score,12.97872340425532,47.0,School B,All,All,FSM,All
stress_score,8.23404255319149,47.0,School B,All,All,FSM,All
appearance_score,4.551020408163265,49.0,School B,All,All,FSM,All
negative_score,10.166666666666666,36.0,School B,All,All,FSM,All
lonely_score,2.581818181818182,55.0,School B,All,All,FSM,All
support_score,5.245283018867925,53.0,School B,All,All,FSM,All
sleep_score,0.4,55.0,School B,All,All,FSM,All
physical_score,216.38297872340425,47.0,School B,All,All,FSM,All
free_like_score,0.375,56.0,School B,All,All,FSM,All
media_score,3.826923076923077,52.0,School B,All,All,FSM,All
places_score,0.43137254901960786,51.0,School B,All,All,FSM,All
staff_talk_score,2.25,49.0,School B,All,All,FSM,All
home_talk_score,2.509259259259259,54.0,School B,All,All,FSM,All
peer_talk_score,2.53125,56.0,School B,All,All,FSM,All
talk_score,7.238636363636363,44.0,School B,All,All,FSM,All
accept_score,9.119047619047619,42.0,School B,All,All,FSM,All
school_belong_score,2.8363636363636364,55.0,School B,All,All,FSM,All
staff_relationship_score,12.024390243902438,41.0,School B,All,All,FSM,All
home_relationship_score,11.377777777777778,45.0,School B,All,All,FSM,All
home_happy_score,5.09433962264151,53.0,School B,All,All,FSM,All
local_env_score,15.698924731182794,31.0,School B,All,All,FSM,All
discrim_score,0.9655172413793104,58.0,School B,All,All,FSM,All
belong_local_score,0.509090909090909,55.0,School B,All,All,FSM,All
wealth_score,0.27906976744186046,43.0,School B,All,All,FSM,All
future_score,7.208333333333333,24.0,School B,All,All,FSM,All
climate_score,0.5,52.0,School B,All,All,FSM,All
social_score,11.394736842105264,38.0,School B,All,All,FSM,All
bully_score,7.32,50.0,School B,All,All,FSM,All
birth_you_age_score,7.737288135593221,59.0,School B,All,All,Non-FSM,All
autonomy_score,17.558139534883722,43.0,School B,All,All,Non-FSM,All
life_satisfaction_score,5.765625,64.0,School B,All,All,Non-FSM,All
optimism_score,11.895833333333334,48.0,School B,All,All,Non-FSM,All
wellbeing_score,20.43243243243243,37.0,School B,All,All,Non-FSM,All
esteem_score,13.018181818181818,55.0,School B,All,All,Non-FSM,All
stress_score,8.542372881355933,59.0,School B,All,All,Non-FSM,All
appearance_score,6.0701754385964914,57.0,School B,All,All,Non-FSM,All
negative_score,9.75,24.0,School B,All,All,Non-FSM,All
lonely_score,2.9516129032258065,62.0,School B,All,All,Non-FSM,All
support_score,4.934426229508197,61.0,School B,All,All,Non-FSM,All
sleep_score,0.5714285714285714,56.0,School B,All,All,Non-FSM,All
physical_score,191.32075471698113,53.0,School B,All,All,Non-FSM,All
free_like_score,0.39344262295081966,61.0,School B,All,All,Non-FSM,All
media_score,3.789473684210526,57.0,School B,All,All,Non-FSM,All
places_score,0.5245901639344263,61.0,School B,All,All,Non-FSM,All
staff_talk_score,2.093137254901961,51.0,School B,All,All,Non-FSM,All
home_talk_score,2.3155737704918034,61.0,School B,All,All,Non-FSM,All
peer_talk_score,2.593220338983051,59.0,School B,All,All,Non-FSM,All
talk_score,6.7727272727272725,44.0,School B,All,All,Non-FSM,All
accept_score,10.4,45.0,School B,All,All,Non-FSM,All
school_belong_score,3.34375,64.0,School B,All,All,Non-FSM,All
staff_relationship_score,11.8,45.0,School B,All,All,Non-FSM,All
home_relationship_score,11.738095238095237,42.0,School B,All,All,Non-FSM,All
home_happy_score,5.4655172413793105,58.0,School B,All,All,Non-FSM,All
local_env_score,15.333333333333334,39.0,School B,All,All,Non-FSM,All
discrim_score,0.984375,64.0,School B,All,All,Non-FSM,All
belong_local_score,0.45161290322580644,62.0,School B,All,All,Non-FSM,All
wealth_score,0.3953488372093023,43.0,School B,All,All,Non-FSM,All
future_score,7.068181818181818,22.0,School B,All,All,Non-FSM,All
climate_score,0.5666666666666667,60.0,School B,All,All,Non-FSM,All
social_score,11.714285714285714,49.0,School B,All,All,Non-FSM,All
bully_score,7.482142857142857,56.0,School B,All,All,Non-FSM,All
birth_you_age_score,,,School B,All,All,All,SEN
autonomy_score,,,School B,All,All,All,SEN
life_satisfaction_score,,,School B,All,All,All,SEN
optimism_score,,,School B,All,All,All,SEN
wellbeing_score,,,School B,All,All,All,SEN
esteem_score,,,School B,All,All,All,SEN
stress_score,,,School B,All,All,All,SEN
appearance_score,,,School B,All,All,All,SEN
negative_score,,,School B,All,All,All,SEN
lonely_score,,,School B,All,All,All,SEN
support_score,,,School B,All,All,All,SEN
sleep_score,,,School B,All,All,All,SEN
physical_score,,,School B,All,All,All,SEN
free_like_score,,,School B,All,All,All,SEN
media_score,,,School B,All,All,All,SEN
places_score,,,School B,All,All,All,SEN
staff_talk_score,,,School B,All,All,All,SEN
home_talk_score,,,School B,All,All,All,SEN
peer_talk_score,,,School B,All,All,All,SEN
talk_score,,,School B,All,All,All,SEN
accept_score,,,School B,All,All,All,SEN
school_belong_score,,,School B,All,All,All,SEN
staff_relationship_score,,,School B,All,All,All,SEN
home_relationship_score,,,School B,All,All,All,SEN
home_happy_score,,,School B,All,All,All,SEN
local_env_score,,,School B,All,All,All,SEN
discrim_score,,,School B,All,All,All,SEN
belong_local_score,,,School B,All,All,All,SEN
wealth_score,,,School B,All,All,All,SEN
future_score,,,School B,All,All,All,SEN
climate_score,,,School B,All,All,All,SEN
social_score,,,School B,All,All,All,SEN
bully_score,,,School B,All,All,All,SEN
birth_you_age_score,7.72,100.0,School B,All,All,All,Non-SEN
autonomy_score,18.026666666666667,75.0,School B,All,All,All,Non-SEN
life_satisfaction_score,5.685185185185185,108.0,School B,All,All,All,Non-SEN
optimism_score,11.88888888888889,72.0,School B,All,All,All,Non-SEN
wellbeing_score,21.0,63.0,School B,All,All,All,Non-SEN
esteem_score,13.065934065934066,91.0,School B,All,All,All,Non-SEN
stress_score,8.5,96.0,School B,All,All,All,Non-SEN
appearance_score,5.389473684210526,95.0,School B,All,All,All,Non-SEN
negative_score,10.254545454545454,55.0,School B,All,All,All,Non-SEN
lonely_score,2.6923076923076925,104.0,School B,All,All,All,Non-SEN
support_score,4.990291262135922,103.0,School B,All,All,All,Non-SEN
sleep_score,0.45918367346938777,98.0,School B,All,All,All,Non-SEN
physical_score,196.59574468085106,94.0,School B,All,All,All,Non-SEN
free_like_score,0.38095238095238093,105.0,School B,All,All,All,Non-SEN
media_score,3.6597938144329896,97.0,School B,All,All,All,Non-SEN
places_score,0.5247524752475248,101.0,School B,All,All,All,Non-SEN
staff_talk_score,2.14010989010989,91.0,School B,All,All,All,Non-SEN
home_talk_score,2.4471153846153846,104.0,School B,All,All,All,Non-SEN
peer_talk_score,2.574519230769231,104.0,School B,All,All,All,Non-SEN
talk_score,7.049382716049383,81.0,School B,All,All,All,Non-SEN
accept_score,9.775,80.0,School B,All,All,All,Non-SEN
school_belong_score,3.2429906542056073,107.0,School B,All,All,All,Non-SEN
staff_relationship_score,12.050632911392405,79.0,School B,All,All,All,Non-SEN
home_relationship_score,11.679487179487179,78.0,School B,All,All,All,Non-SEN
home_happy_score,5.257425742574258,101.0,School B,All,All,All,Non-SEN
local_env_score,15.406249999999998,64.0,School B,All,All,All,Non-SEN
discrim_score,0.9727272727272728,110.0,School B,All,All,All,Non-SEN
belong_local_score,0.4666666666666667,105.0,School B,All,All,All,Non-SEN
wealth_score,0.358974358974359,78.0,School B,All,All,All,Non-SEN
future_score,7.222222222222222,45.0,School B,All,All,All,Non-SEN
climate_score,0.5490196078431373,102.0,School B,All,All,All,Non-SEN
social_score,11.615384615384615,78.0,School B,All,All,All,Non-SEN
bully_score,7.40625,96.0,School B,All,All,All,Non-SEN
birth_you_age_score,8.244444444444444,90.0,School C,All,All,All,All
autonomy_score,17.36842105263158,57.0,School C,All,All,All,All
life_satisfaction_score,5.020833333333333,96.0,School C,All,All,All,All
optimism_score,12.588235294117647,68.0,School C,All,All,All,All
wellbeing_score,21.666666666666668,54.0,School C,All,All,All,All
esteem_score,12.023809523809524,84.0,School C,All,All,All,All
stress_score,8.08860759493671,79.0,School C,All,All,All,All
appearance_score,5.1647058823529415,85.0,School C,All,All,All,All
negative_score,9.89795918367347,49.0,School C,All,All,All,All
lonely_score,2.9101123595505616,89.0,School C,All,All,All,All
support_score,5.1477272727272725,88.0,School C,All,All,All,All
sleep_score,0.43820224719101125,89.0,School C,All,All,All,All
physical_score,316.94117647058823,85.0,School C,All,All,All,All
free_like_score,0.46236559139784944,93.0,School C,All,All,All,All
media_score,3.6451612903225805,93.0,School C,All,All,All,All
places_score,0.5,90.0,School C,All,All,All,All
staff_talk_score,2.382911392405063,79.0,School C,All,All,All,All
home_talk_score,2.636627906976744,86.0,School C,All,All,All,All
peer_talk_score,2.3956043956043955,91.0,School C,All,All,All,All
talk_score,7.503787878787879,66.0,School C,All,All,All,All
accept_score,10.391304347826088,69.0,School C,All,All,All,All
school_belong_score,2.8526315789473684,95.0,School C,All,All,All,All
staff_relationship_score,12.025974025974026,77.0,School C,All,All,All,All
home_relationship_score,11.686567164179104,67.0,School C,All,All,All,All
home_happy_score,4.847058823529411,85.0,School C,All,All,All,All
local_env_score,14.818840579710146,46.0,School C,All,All,All,All
discrim_score,0.9690721649484536,97.0,School C,All,All,All,All
belong_local_score,0.3614457831325301,83.0,School C,All,All,All,All
wealth_score,0.3333333333333333,75.0,School C,All,All,All,All
future_score,7.6477272727272725,44.0,School C,All,All,All,All
climate_score,0.425531914893617,94.0,School C,All,All,All,All
social_score,11.672727272727272,55.0,School C,All,All,All,All
bully_score,7.518072289156627,83.0,School C,All,All,All,All
birth_you_age_score,7.333333333333333,36.0,School C,Year 8,All,All,All
autonomy_score,17.958333333333332,24.0,School C,Year 8,All,All,All
life_satisfaction_score,4.552631578947368,38.0,School C,Year 8,All,All,All
optimism_score,12.74074074074074,27.0,School C,Year 8,All,All,All
wellbeing_score,21.68,25.0,School C,Year 8,All,All,All
esteem_score,12.13888888888889,36.0,School C,Year 8,All,All,All
stress_score,7.9655172413793105,29.0,School C,Year 8,All,All,All
appearance_score,5.705882352941177,34.0,School C,Year 8,All,All,All
negative_score,9.88888888888889,18.0,School C,Year 8,All,All,All
lonely_score,3.2222222222222223,36.0,School C,Year 8,All,All,All
support_score,5.382352941176471,34.0,School C,Year 8,All,All,All
sleep_score,0.3611111111111111,36.0,School C,Year 8,All,All,All
physical_score,293.2258064516129,31.0,School C,Year 8,All,All,All
free_like_score,0.5526315789473685,38.0,School C,Year 8,All,All,All
media_score,4.054054054054054,37.0,School C,Year 8,All,All,All
places_score,0.5142857142857142,35.0,School C,Year 8,All,All,All
staff_talk_score,2.703125,32.0,School C,Year 8,All,All,All
home_talk_score,2.34375,32.0,School C,Year 8,All,All,All
peer_talk_score,2.576388888888889,36.0,School C,Year 8,All,All,All
talk_score,7.788461538461538,26.0,School C,Year 8,All,All,All
accept_score,10.555555555555555,27.0,School C,Year 8,All,All,All
school_belong_score,2.945945945945946,37.0,School C,Year 8,All,All,All
staff_relationship_score,11.928571428571429,28.0,School C,Year 8,All,All,All
home_relationship_score,11.772727272727273,22.0,School C,Year 8,All,All,All
home_happy_score,4.909090909090909,33.0,School C,Year 8,All,All,All
local_env_score,13.833333333333334,18.0,School C,Year 8,All,All,All
discrim_score,0.9736842105263158,38.0,School C,Year 8,All,All,All
belong_local_score,0.3142857142857143,35.0,School C,Year 8,All,All,All
wealth_score,0.3103448275862069,29.0,School C,Year 8,All,All,All
future_score,7.3,15.0,School C,Year 8,All,All,All
climate_score,0.4444444444444444,36.0,School C,Year 8,All,All,All
social_score,12.391304347826088,23.0,School C,Year 8,All,All,All
bully_score,7.59375,32.0,School C,Year 8,All,All,All
birth_you_age_score,8.715686274509803,51.0,School C,Year 10,All,All,All
autonomy_score,16.90625,32.0,School C,Year 10,All,All,All
life_satisfaction_score,5.218181818181818,55.0,School C,Year 10,All,All,All
optimism_score,12.35897435897436,39.0,School C,Year 10,All,All,All
wellbeing_score,21.77777777777778,27.0,School C,Year 10,All,All,All
esteem_score,11.978260869565217,46.0,School C,Year 10,All,All,All
stress_score,8.041666666666666,48.0,School C,Year 10,All,All,All
appearance_score,4.875,48.0,School C,Year 10,All,All,All
negative_score,9.933333333333334,30.0,School C,Year 10,All,All,All
lonely_score,2.7450980392156863,51.0,School C,Year 10,All,All,All
support_score,5.03921568627451,51.0,School C,Year 10,All,All,All
sleep_score,0.48,50.0,School C,Year 10,All,All,All
physical_score,332.3529411764706,51.0,School C,Year 10,All,All,All
free_like_score,0.40384615384615385,52.0,School C,Year 10,All,All,All
media_score,3.4444444444444446,54.0,School C,Year 10,All,All,All
places_score,0.4807692307692308,52.0,School C,Year 10,All,All,All
staff_talk_score,2.1079545454545454,44.0,School C,Year 10,All,All,All
home_talk_score,2.838235294117647,51.0,School C,Year 10,All,All,All
peer_talk_score,2.2596153846153846,52.0,School C,Year 10,All,All,All
talk_score,7.27027027027027,37.0,School C,Year 10,All,All,All
accept_score,10.24390243902439,41.0,School C,Year 10,All,All,All
school_belong_score,2.8545454545454545,55.0,School C,Year 10,All,All,All
staff_relationship_score,12.065217391304348,46.0,School C,Year 10,All,All,All
home_relationship_score,11.604651162790697,43.0,School C,Year 10,All,All,All
home_happy_score,4.918367346938775,49.0,School C,Year 10,All,All,All
local_env_score,15.419753086419753,27.0,School C,Year 10,All,All,All
discrim_score,0.9642857142857143,56.0,School C,Year 10,All,All,All
belong_local_score,0.41304347826086957,46.0,School C,Year 10,All,All,All
wealth_score,0.37209302325581395,43.0,School C,Year 10,All,All,All
future_score,7.87037037037037,27.0,School C,Year 10,All,All,All
climate_score,0.41818181818181815,55.0,School C,Year 10,All,All,All
social_score,11.096774193548388,31.0,School C,Year 10,All,All,All
bully_score,7.354166666666667,48.0,School C,Year 10,All,All,All
birth_you_age_score,8.0,14.0,School C,All,Girl,All,All
autonomy_score,,,School C,All,Girl,All,All
life_satisfaction_score,5.933333333333334,15.0,School C,All,Girl,All,All
optimism_score,12.0,13.0,School C,All,Girl,All,All
wellbeing_score,,,School C,All,Girl,All,All
esteem_score,11.5,14.0,School C,All,Girl,All,All
stress_score,6.0,10.0,School C,All,Girl,All,All
appearance_score,4.2727272727272725,11.0,School C,All,Girl,All,All
negative_score,,,School C,All,Girl,All,All
lonely_score,3.25,12.0,School C,All,Girl,All,All
support_score,5.6,15.0,School C,All,Girl,All,All
sleep_score,0.3333333333333333,15.0,School C,All,Girl,All,All
physical_score,338.57142857142856,14.0,School C,All,Girl,All,All
free_like_score,0.5714285714285714,14.0,School C,All,Girl,All,All
media_score,4.333333333333333,15.0,School C,All,Girl,All,All
places_score,0.5333333333333333,15.0,School C,All,Girl,All,All
staff_talk_score,2.1041666666666665,12.0,School C,All,Girl,All,All
home_talk_score,2.6153846153846154,13.0,School C,All,Girl,All,All
peer_talk_score,1.875,14.0,School C,All,Girl,All,All
talk_score,6.325,10.0,School C,All,Girl,All,All
accept_score,9.76923076923077,13.0,School C,All,Girl,All,All
school_belong_score,3.142857142857143,14.0,School C,All,Girl,All,All
staff_relationship_score,11.583333333333334,12.0,School C,All,Girl,All,All
home_relationship_score,,,School C,All,Girl,All,All
home_happy_score,6.642857142857143,14.0,School C,All,Girl,All,All
local_env_score,,,School C,All,Girl,All,All
discrim_score,1.0,15.0,School C,All,Girl,All,All
belong_local_score,0.3333333333333333,12.0,School C,All,Girl,All,All
wealth_score,0.5,10.0,School C,All,Girl,All,All
future_score,,,School C,All,Girl,All,All
climate_score,0.42857142857142855,14.0,School C,All,Girl,All,All
social_score,12.0,11.0,School C,All,Girl,All,All
bully_score,6.928571428571429,14.0,School C,All,Girl,All,All
birth_you_age_score,8.5,13.0,School C,All,Boy,All,All
autonomy_score,,,School C,All,Boy,All,All
life_satisfaction_score,4.928571428571429,14.0,School C,All,Boy,All,All
optimism_score,13.636363636363637,11.0,School C,All,Boy,All,All
wellbeing_score,,,School C,All,Boy,All,All
esteem_score,12.181818181818182,11.0,School C,All,Boy,All,All
stress_score,8.9,10.0,School C,All,Boy,All,All
appearance_score,4.833333333333333,12.0,School C,All,Boy,All,All
negative_score,,,School C,All,Boy,All,All
lonely_score,2.6363636363636362,11.0,School C,All,Boy,All,All
support_score,4.142857142857143,14.0,School C,All,Boy,All,All
sleep_score,0.38461538461538464,13.0,School C,All,Boy,All,All
physical_score,399.2307692307692,13.0,School C,All,Boy,All,All
free_like_score,0.5,14.0,School C,All,Boy,All,All
media_score,4.076923076923077,13.0,School C,All,Boy,All,All
places_score,0.5384615384615384,13.0,School C,All,Boy,All,All
staff_talk_score,,,School C,All,Boy,All,All
home_talk_score,2.9423076923076925,13.0,School C,All,Boy,All,All
peer_talk_score,2.8076923076923075,13.0,School C,All,Boy,All,All
talk_score,,,School C,All,Boy,All,All
accept_score,9.545454545454545,11.0,School C,All,Boy,All,All
school_belong_score,2.5,14.0,School C,All,Boy,All,All
staff_relationship_score,12.153846153846153,13.0,School C,All,Boy,All,All
home_relationship_score,,,School C,All,Boy,All,All
home_happy_score,5.384615384615385,13.0,School C,All,Boy,All,All
local_env_score,,,School C,All,Boy,All,All
discrim_score,0.9285714285714286,14.0,School C,All,Boy,All,All
belong_local_score,0.23076923076923078,13.0,School C,All,Boy,All,All
wealth_score,0.3,10.0,School C,All,Boy,All,All
future_score,7.7,10.0,School C,All,Boy,All,All
climate_score,0.42857142857142855,14.0,School C,All,Boy,All,All
social_score,,,School C,All,Boy,All,All
bully_score,7.571428571428571,14.0,School C,All,Boy,All,All
birth_you_age_score,7.6063829787234045,47.0,School C,All,All,FSM,All
autonomy_score,17.379310344827587,29.0,School C,All,All,FSM,All
life_satisfaction_score,4.836734693877551,49.0,School C,All,All,FSM,All
optimism_score,12.5,34.0,School C,All,All,FSM,All
wellbeing_score,21.962962962962962,27.0,School C,All,All,FSM,All
esteem_score,11.634146341463415,41.0,School C,All,All,FSM,All
stress_score,7.925,40.0,School C,All,All,FSM,All
appearance_score,4.863636363636363,44.0,School C,All,All,FSM,All
negative_score,9.8,30.0,School C,All,All,FSM,All
lonely_score,3.111111111111111,45.0,School C,All,All,FSM,All
support_score,4.911111111111111,45.0,School C,All,All,FSM,All
sleep_score,0.4888888888888889,45.0,School C,All,All,FSM,All
physical_score,332.72727272727275,44.0,School C,All,All,FSM,All
free_like_score,0.5510204081632653,49.0,School C,All,All,FSM,All
media_score,4.0,47.0,School C,All,All,FSM,All
places_score,0.45652173913043476,46.0,School C,All,All,FSM,All
staff_talk_score,2.414772727272727,44.0,School C,All,All,FSM,All
home_talk_score,2.6117021276595747,47.0,School C,All,All,FSM,All
peer_talk_score,2.4545454545454546,44.0,School C,All,All,FSM,All
talk_score,7.6824324324324325,37.0,School C,All,All,FSM,All
accept_score,10.263157894736842,38.0,School C,All,All,FSM,All
school_belong_score,2.7551020408163267,49.0,School C,All,All,FSM,All
staff_relationship_score,12.051282051282051,39.0,School C,All,All,FSM,All
home_relationship_score,12.131578947368421,38.0,School C,All,All,FSM,All
home_happy_score,5.116279069767442,43.0,School C,All,All,FSM,All
local_env_score,14.797101449275361,23.0,School C,All,All,FSM,All
discrim_score,0.98,50.0,School C,All,All,FSM,All
belong_local_score,0.3488372093023256,43.0,School C,All,All,FSM,All
wealth_score,0.325,40.0,School C,All,All,FSM,All
future_score,7.431818181818182,22.0,School C,All,All,FSM,All
climate_score,0.5102040816326531,49.0,School C,All,All,FSM,All
social_score,11.37037037037037,27.0,School C,All,All,FSM,All
bully_score,7.6,45.0,School C,All,All,FSM,All
birth_you_age_score,8.921052631578947,38.0,School C,All,All,Non-FSM,All
autonomy_score,17.458333333333332,24.0,School C,All,All,Non-FSM,All
life_satisfaction_score,5.285714285714286,42.0,School C,All,All,Non-FSM,All
optimism_score,12.67741935483871,31.0,School C,All,All,Non-FSM,All
wellbeing_score,21.956521739130434,23.0,School C,All,All,Non-FSM,All
esteem_score,12.421052631578947,38.0,School C,All,All,Non-FSM,All
stress_score,8.205882352941176,34.0,School C,All,All,Non-FSM,All
appearance_score,5.27027027027027,37.0,School C,All,All,Non-FSM,All
negative_score,10.11111111111111,18.0,School C,All,All,Non-FSM,All
lonely_score,2.8205128205128207,39.0,School C,All,All,Non-FSM,All
support_score,5.2631578947368425,38.0,School C,All,All,Non-FSM,All
sleep_score,0.375,40.0,School C,All,All,Non-FSM,All
physical_score,305.6756756756757,37.0,School C,All,All,Non-FSM,All
free_like_score,0.375,40.0,School C,All,All,Non-FSM,All
media_score,3.268292682926829,41.0,School C,All,All,Non-FSM,All
places_score,0.5897435897435898,39.0,School C,All,All,Non-FSM,All
staff_talk_score,2.3125,32.0,School C,All,All,Non-FSM,All
home_talk_score,2.639705882352941,34.0,School C,All,All,Non-FSM,All
peer_talk_score,2.357142857142857,42.0,School C,All,All,Non-FSM,All
talk_score,7.3076923076923075,26.0,School C,All,All,Non-FSM,All
accept_score,10.407407407407407,27.0,School C,All,All,Non-FSM,All
school_belong_score,3.073170731707317,41.0,School C,All,All,Non-FSM,All
staff_relationship_score,11.93939393939394,33.0,School C,All,All,Non-FSM,All
home_relationship_score,11.48,25.0,School C,All,All,Non-FSM,All
home_happy_score,4.868421052631579,38.0,School C,All,All,Non-FSM,All
local_env_score,14.84057971014493,23.0,School C,All,All,Non-FSM,All
discrim_score,0.9523809523809523,42.0,School C,All,All,Non-FSM,All
belong_local_score,0.3888888888888889,36.0,School C,All,All,Non-FSM,All
wealth_score,0.34375,32.0,School C,All,All,Non-FSM,All
future_score,7.8,20.0,School C,All,All,Non-FSM,All
climate_score,0.3,40.0,School C,All,All,Non-FSM,All
social_score,12.130434782608695,23.0,School C,All,All,Non-FSM,All
bully_score,7.294117647058823,34.0,School C,All,All,Non-FSM,All
birth_you_age_score,7.970588235294118,34.0,School C,All,All,All,SEN
autonomy_score,18.307692307692307,26.0,School C,All,All,All,SEN
life_satisfaction_score,5.076923076923077,39.0,School C,All,All,All,SEN
optimism_score,12.724137931034482,29.0,School C,All,All,All,SEN
wellbeing_score,22.153846153846153,26.0,School C,All,All,All,SEN
esteem_score,11.366666666666667,30.0,School C,All,All,All,SEN
stress_score,8.862068965517242,29.0,School C,All,All,All,SEN
appearance_score,5.142857142857143,35.0,School C,All,All,All,SEN
negative_score,9.88888888888889,18.0,School C,All,All,All,SEN
lonely_score,3.142857142857143,35.0,School C,All,All,All,SEN
support_score,5.228571428571429,35.0,School C,All,All,All,SEN
sleep_score,0.39473684210526316,38.0,School C,All,All,All,SEN
physical_score,299.09090909090907,33.0,School C,All,All,All,SEN
free_like_score,0.42105263157894735,38.0,School C,All,All,All,SEN
media_score,3.864864864864865,37.0,School C,All,All,All,SEN
places_score,0.4,35.0,School C,All,All,All,SEN
staff_talk_score,2.4596774193548385,31.0,School C,All,All,All,SEN
home_talk_score,2.5808823529411766,34.0,School C,All,All,All,SEN
peer_talk_score,2.375,38.0,School C,All,All,All,SEN
talk_score,7.277777777777778,27.0,School C,All,All,All,SEN
accept_score,10.241379310344827,29.0,School C,All,All,All,SEN
school_belong_score,2.8157894736842106,38.0,School C,All,All,All,SEN
staff_relationship_score,12.029411764705882,34.0,School C,All,All,All,SEN
home_relationship_score,10.84,25.0,School C,All,All,All,SEN
home_happy_score,4.942857142857143,35.0,School C,All,All,All,SEN
local_env_score,14.607843137254903,17.0,School C,All,All,All,SEN
discrim_score,0.9743589743589743,39.0,School C,All,All,All,SEN
belong_local_score,0.3870967741935484,31.0,School C,All,All,All,SEN
wealth_score,0.2857142857142857,35.0,School C,All,All,All,SEN
future_score,7.09375,16.0,School C,All,All,All,SEN
climate_score,0.4594594594594595,37.0,School C,All,All,All,SEN
social_score,11.956521739130435,23.0,School C,All,All,All,SEN
bully_score,7.483870967741935,31.0,School C,All,All,All,SEN
birth_you_age_score,8.811111111111112,45.0,School C,All,All,All,Non-SEN
autonomy_score,16.296296296296298,27.0,School C,All,All,All,Non-SEN
life_satisfaction_score,4.8936170212765955,47.0,School C,All,All,All,Non-SEN
optimism_score,12.363636363636363,33.0,School C,All,All,All,Non-SEN
wellbeing_score,21.52173913043478,23.0,School C,All,All,All,Non-SEN
esteem_score,12.4,45.0,School C,All,All,All,Non-SEN
stress_score,7.666666666666667,42.0,School C,All,All,All,Non-SEN
appearance_score,5.170731707317073,41.0,School C,All,All,All,Non-SEN
negative_score,9.826086956521738,23.0,School C,All,All,All,Non-SEN
lonely_score,2.659090909090909,44.0,School C,All,All,All,Non-SEN
support_score,5.190476190476191,42.0,School C,All,All,All,Non-SEN
sleep_score,0.4634146341463415,41.0,School C,All,All,All,Non-SEN
physical_score,310.7142857142857,42.0,School C,All,All,All,Non-SEN
free_like_score,0.5,44.0,School C,All,All,All,Non-SEN
media_score,3.5,46.0,School C,All,All,All,Non-SEN
places_score,0.5333333333333333,45.0,School C,All,All,All,Non-SEN
staff_talk_score,2.3141025641025643,39.0,School C,All,All,All,Non-SEN
home_talk_score,2.6904761904761907,42.0,School C,All,All,All,Non-SEN
peer_talk_score,2.4545454545454546,44.0,School C,All,All,All,Non-SEN
talk_score,7.7265625,32.0,School C,All,All,All,Non-SEN
accept_score,10.548387096774194,31.0,School C,All,All,All,Non-SEN
school_belong_score,3.108695652173913,46.0,School C,All,All,All,Non-SEN
staff_relationship_score,12.06060606060606,33.0,School C,All,All,All,Non-SEN
home_relationship_score,12.030303030303031,33.0,School C,All,All,All,Non-SEN
home_happy_score,4.825,40.0,School C,All,All,All,Non-SEN
local_env_score,15.151515151515154,22.0,School C,All,All,All,Non-SEN
discrim_score,0.9574468085106383,47.0,School C,All,All,All,Non-SEN
belong_local_score,0.30952380952380953,42.0,School C,All,All,All,Non-SEN
wealth_score,0.40625,32.0,School C,All,All,All,Non-SEN
future_score,8.071428571428571,21.0,School C,All,All,All,Non-SEN
climate_score,0.41304347826086957,46.0,School C,All,All,All,Non-SEN
social_score,11.84,25.0,School C,All,All,All,Non-SEN
bully_score,7.5,42.0,School C,All,All,All,Non-SEN
birth_you_age_score,7.724719101123595,89.0,School D,All,All,All,All
autonomy_score,18.140625,64.0,School D,All,All,All,All
life_satisfaction_score,4.580645161290323,93.0,School D,All,All,All,All
optimism_score,12.328358208955224,67.0,School D,All,All,All,All
wellbeing_score,20.783333333333335,60.0,School D,All,All,All,All
esteem_score,12.858823529411765,85.0,School D,All,All,All,All
stress_score,8.7,80.0,School D,All,All,All,All
appearance_score,4.843373493975903,83.0,School D,All,All,All,All
negative_score,9.608695652173912,46.0,School D,All,All,All,All
lonely_score,2.898876404494382,89.0,School D,All,All,All,All
support_score,5.443181818181818,88.0,School D,All,All,All,All
sleep_score,0.45977011494252873,87.0,School D,All,All,All,All
physical_score,253.53658536585365,82.0,School D,All,All,All,All
free_like_score,0.391304347826087,92.0,School D,All,All,All,All
media_score,3.9036144578313254,83.0,School D,All,All,All,All
places_score,0.4725274725274725,91.0,School D,All,All,All,All
